"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"LOT1_young_leaf_epiphyte vs LOT3_young_leaf_epiphyte",1,7.39178077993548,23.8290141827215,0.156946380182934,0.001,0.001,"**"
"LOT2_young_leaf_endophyte vs LOT3_old_leaf_epiphyte",1,8.02604388422245,23.6301751979454,0.156875441238069,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT2_old_leaf_endophyte",1,9.36343773598279,26.8477065261377,0.156229646987196,0.001,0.001,"**"
"LOT2_young_leaf_endophyte vs LOT3_young_leaf_epiphyte",1,8.04219586142894,24.0306684755744,0.154012468897012,0.001,0.001,"**"
"LOT1_old_leaf_epiphyte vs LOT3_young_leaf_endophyte",1,6.85031417296809,20.3294192262499,0.15362735924573,0.001,0.001,"**"
"LOT2_root_epiphyte vs LOT3_young_leaf_endophyte",1,7.62025639973755,21.5678467312874,0.152349896034131,0.001,0.001,"**"
"LOT2_old_leaf_endophyte vs LOT3_root_epiphyte",1,8.87375869444507,25.0759388239424,0.150087074179882,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT3_root_epiphyte",1,7.73526459520668,22.6659654286227,0.149446616876545,0.001,0.001,"**"
"LOT1_old_leaf_epiphyte vs LOT3_root_epiphyte",1,7.68081638680814,22.3991599952274,0.148931416877183,0.001,0.001,"**"
"LOT2_old_leaf_endophyte vs LOT3_root_endophyte",1,8.80976546775019,24.3118046092459,0.148867405313513,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT2_young_leaf_endophyte",1,8.57594832205289,24.3117514703779,0.148867128369434,0.001,0.001,"**"
"LOT1_young_leaf_epiphyte vs LOT3_young_leaf_endophyte",1,6.47520792211082,19.3201823570313,0.14601085044533,0.001,0.001,"**"
"LOT2_old_leaf_endophyte vs LOT3_young_leaf_endophyte",1,7.50481182178443,21.4430833589126,0.145432955350743,0.001,0.001,"**"
"LOT1_root_epiphyte vs LOT3_root_epiphyte",1,7.22975363445585,22.3003579576739,0.144525639816021,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT3_old_leaf_epiphyte",1,7.60475902511556,22.8634569708901,0.143918918842862,0.001,0.001,"**"
"LOT2_young_leaf_endophyte vs LOT3_old_leaf_endophyte",1,7.47198454236504,21.2688904742482,0.143448098965455,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT3_old_leaf_epiphyte",1,7.9748813695731,23.4630715654748,0.142664680539752,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT3_young_leaf_endophyte",1,7.82046303463417,22.1323253478496,0.141753639411574,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT3_young_leaf_epiphyte",1,7.9123387094866,23.5926901000058,0.139113838492058,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT3_root_endophyte",1,8.05135552778327,22.0682784074092,0.13701194689366,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT2_young_leaf_endophyte",1,7.17123865421195,20.3669556218005,0.134553512939037,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT2_young_leaf_endophyte",1,7.57513312317844,21.1049314504138,0.134336530722303,0.001,0.001,"**"
"LOT3_root_endophyte vs LOT3_young_leaf_epiphyte",1,7.55856396043997,21.7009251725131,0.134204087882374,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT3_young_leaf_epiphyte",1,7.06930408009538,21.5399005516459,0.132520694786581,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT3_root_endophyte",1,8.09901313513038,21.8394970498687,0.131690564903857,0.001,0.001,"**"
"LOT3_root_endophyte vs LOT3_old_leaf_epiphyte",1,7.12418477258842,20.1530411924504,0.12989137072378,0.001,0.001,"**"
"LOT2_root_endophyte vs LOT2_old_leaf_endophyte",1,6.91490878468,20.4043564345351,0.128811838852221,0.001,0.001,"**"
"LOT2_young_leaf_endophyte vs LOT3_young_leaf_endophyte",1,6.02870436781662,16.6585394175209,0.12463505504488,0.001,0.001,"**"
"LOT2_root_endophyte vs LOT3_root_epiphyte",1,7.04025334041891,19.9199751579268,0.124562145149504,0.001,0.001,"**"
"LOT2_young_leaf_endophyte vs LOT3_root_endophyte",1,6.89390280174627,18.4357150380974,0.124199994815033,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT3_root_epiphyte",1,7.55182705589221,20.8344688131378,0.12413700809179,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT1_old_leaf_epiphyte",1,6.23665608812978,18.8095825823397,0.123091642974709,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT3_root_epiphyte",1,7.09613507618352,19.916412746611,0.123004286031083,0.001,0.001,"**"
"LOT1_young_leaf_endophyte vs LOT3_old_leaf_endophyte",1,6.53939850362432,19.0373836885293,0.12279221459758,0.001,0.001,"**"
"LOT1_root_endophyte vs LOT1_young_leaf_epiphyte",1,6.21402221515315,18.8252119274916,0.122380536269732,0.001,0.001,"**"
"LOT2_root_epiphyte vs LOT3_root_endophyte",1,6.73992846647458,18.418782422143,0.121641332254231,0.001,0.001,"**"
"LOT2_young_leaf_endophyte vs LOT3_root_epiphyte",1,6.69338858125346,18.3573235241754,0.121284673227214,0.001,0.001,"**"
"LOT2_root_endophyte vs LOT3_root_endophyte",1,6.64761747040857,18.3619985550473,0.118188480618324,0.001,0.001,"**"
"LOT2_root_epiphyte vs LOT3_root_epiphyte",1,6.50516870678892,18.2226045579495,0.118157805791059,0.001,0.001,"**"
"LOT2_old_leaf_endophyte vs LOT2_root_epiphyte",1,6.126193909417,17.9091993603837,0.117894106715003,0.001,0.001,"**"
"LOT1_old_leaf_endophyte vs LOT3_old_leaf_endophyte",1,6.55423021780083,18.7054543302199,0.117124705656846,0.001,0.001,"**"
