"pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"Dryopteridaceae.LOT1 vs Piperaceae.LOT3",1,1.96515696078053,5.41894073975255,0.141048676392723,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Ericaceae.LOT3",1,2.58252398649438,6.84173313750229,0.102357207336739,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT1 vs Orchidaceae.LOT3",1,3.10858792538944,8.4648474113595,0.0708563865838463,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Dryopteridaceae.LOT2",1,0.922210902275861,2.49526063919431,0.0210578940097201,0.002,0.00211627906976744,"*"
"Orchidaceae.LOT2 vs Bromeliaceae.LOT2",1,2.00723087049838,5.31347115258029,0.0253852326050577,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Ericaceae.LOT2",1,0.78207260755694,2.08481711882612,0.0178060415528539,0.002,0.00211627906976744,"*"
"Orchidaceae.LOT2 vs Piperaceae.LOT2",1,0.711038285575053,1.92295796826131,0.0188667794439416,0.003,0.00310227272727273,"*"
"Orchidaceae.LOT2 vs Araceae.LOT3",1,6.57513832585425,17.3431488624657,0.100631495809015,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Bromeliaceae.LOT3",1,9.75440011088894,25.9152977785288,0.104112917164243,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Piperaceae.LOT3",1,3.25547525683416,8.75536188793465,0.0719094564064719,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Ericaceae.LOT3",1,5.80757284336568,15.4289496237561,0.0992668975831381,0.001,0.00110975609756098,"*"
"Orchidaceae.LOT2 vs Orchidaceae.LOT3",1,9.22430576158928,24.8805082539183,0.11525129552064,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT2 vs Bromeliaceae.LOT2",1,1.01488358075821,2.6608314791576,0.0203644156327143,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT2 vs Ericaceae.LOT2",1,0.684227566432663,1.79125008011772,0.0439126056838058,0.01,0.01,"*"
"Dryopteridaceae.LOT2 vs Piperaceae.LOT2",1,0.749783564555447,2.06033019215594,0.0790600186937036,0.002,0.00211627906976744,"*"
"Dryopteridaceae.LOT2 vs Araceae.LOT3",1,3.08199899851732,7.97731218291959,0.0917171614379475,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT2 vs Bromeliaceae.LOT3",1,3.54850292903427,9.36602401908157,0.0598980761827047,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT2 vs Piperaceae.LOT3",1,2.30364899851839,6.18808426849386,0.143282212520089,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT2 vs Ericaceae.LOT3",1,3.02434068242356,7.91494698315204,0.110059831998574,0.001,0.00110975609756098,"*"
"Dryopteridaceae.LOT2 vs Orchidaceae.LOT3",1,3.78538097807315,10.2259962671285,0.081660330697747,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT2 vs Ericaceae.LOT2",1,0.834400374044201,2.15870574255528,0.016713590695606,0.003,0.00310227272727273,"*"
"Bromeliaceae.LOT2 vs Piperaceae.LOT2",1,0.675315945246802,1.76200867128503,0.0154885509834513,0.006,0.00613483146067416,"*"
"Bromeliaceae.LOT2 vs Araceae.LOT3",1,6.45880706220406,16.6677563742539,0.0907494962822463,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT2 vs Bromeliaceae.LOT3",1,9.63195999282608,25.1821362332422,0.096786568816037,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT2 vs Piperaceae.LOT3",1,3.04937671983793,7.94675176574794,0.0597739445319439,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT2 vs Ericaceae.LOT3",1,5.66130775598576,14.6729933881672,0.0880346185059212,0.001,0.00110975609756098,"*"
"Bromeliaceae.LOT2 vs Orchidaceae.LOT3",1,9.53405439800748,25.2133179774211,0.110481361039217,0.001,0.00110975609756098,"*"
