LOT-SampleCode;Genus;Species;Family;TreeZone
LOT03-45570/H;Anthopterus;Anthopterus schultzeae;Ericaceae;5
LOT03-455133/C;Anthopterus;Anthopterus schultzeae;Ericaceae;5
LOT03-455133/H;Anthopterus;Anthopterus schultzeae;Ericaceae;5
LOT03-455133/P;Anthopterus;Anthopterus schultzeae;Ericaceae;5
LOT03-455323/O;Anthopterus;Anthopterus schultzeae;Ericaceae;5
LOT03-455325/O;Anthopterus;Anthopterus schultzeae;Ericaceae;5
LOT03-45438/H;Anthopterus;Anthopterus schultzeae;Ericaceae;4
LOT03-45406/C;Anthopterus;Anthopterus schultzeae;Ericaceae;4
LOT03-21452/O;Anthopterus;Anthopterus schultzeae;Ericaceae;4
LOT01-3439/H1;Anthurium;Anthurium aureum;Araceae;0
LOT01-3439/H2;Anthurium;Anthurium aureum;Araceae;0
LOT03-212251/C;Anthurium;Anthurium cf. apaporanum;Araceae;2
LOT03-212251/H;Anthurium;Anthurium cf. apaporanum;Araceae;2
LOT03-21235/H;Anthurium;Anthurium cf. breviscapum;Araceae;2
LOT03-21233/C;Anthurium;Anthurium cf. breviscapum;Araceae;2
LOT03-21233/H;Anthurium;Anthurium cf. breviscapum;Araceae;2
LOT03-21235/C;Anthurium;Anthurium cf. breviscapum;Araceae;2
LOT03-45594/C;Anthurium;Anthurium cf. ernestii;Araceae;5
LOT03-45594/H;Anthurium;Anthurium cf. ernestii;Araceae;5
LOT03-21440/H;Anthurium;Anthurium cf. ernestii;Araceae;4
LOT03-21440/C;Anthurium;Anthurium cf. ernestii;Araceae;4
LOT01-3475/H2;Anthurium;Anthurium decurrens;Araceae;0
LOT01-3475/H1;Anthurium;Anthurium decurrens;Araceae;0
LOT01-3446/H1;Anthurium;Anthurium dombeyanum;Araceae;0
LOT01-3446/H2;Anthurium;Anthurium dombeyanum;Araceae;0
LOT01-3445/H1;Anthurium;Anthurium ernestii;Araceae;0
LOT01-3420/H2;Anthurium;Anthurium ernestii;Araceae;0
LOT01-3420/H1;Anthurium;Anthurium ernestii;Araceae;0
LOT01-3445/H2;Anthurium;Anthurium ernestii;Araceae;0
LOT01-3445/A;Anthurium;Anthurium ernestii;Araceae;0
LOT01-3477/H1;Anthurium;Anthurium gracile;Araceae;0
LOT01-3447/H1;Anthurium;Anthurium gracile;Araceae;0
LOT01-3477/H2;Anthurium;Anthurium gracile;Araceae;0
LOT01-3423/H2;Anthurium;Anthurium gracile;Araceae;0
LOT01-3423/H1;Anthurium;Anthurium gracile;Araceae;0
LOT02-213131/O;Anthurium;Anthurium incurvatum;Araceae;3
LOT02-213130/O;Anthurium;Anthurium incurvatum;Araceae;3
LOT02-452142/P;Anthurium;Anthurium incurvatum;Araceae;2
LOT02-452142/L;Anthurium;Anthurium incurvatum;Araceae;2
LOT02-452142/L;Anthurium;Anthurium incurvatum;Araceae;2
LOT02-452142/H;Anthurium;Anthurium incurvatum;Araceae;2
LOT01-3443/H2;Anthurium;Anthurium interruptum;Araceae;0
LOT01-3443/H1;Anthurium;Anthurium interruptum;Araceae;0
LOT03-455108/H;Anthurium;Anthurium obtusum;Araceae;5
LOT03-455108/P;Anthurium;Anthurium obtusum;Araceae;5
LOT03-215144/H;Anthurium;Anthurium obtusum;Araceae;5
LOT03-214223/O;Anthurium;Anthurium obtusum;Araceae;4
LOT03-45493/H;Anthurium;Anthurium obtusum;Araceae;4
LOT03-216205/O;Anthurium;Anthurium obtusum;Araceae;6
LOT03-45493/C;Anthurium;Anthurium obtusum;Araceae;4
LOT03-216201/O;Anthurium;Anthurium obtusum;Araceae;6
LOT03-455108/C;Anthurium;Anthurium obtusum;Araceae;5
LOT03-456366/O;Anthurium;Anthurium obtusum;Araceae;6
LOT03-214255/C;Anthurium;Anthurium ovatifolium;Araceae;4
LOT03-215238/O;Anthurium;Anthurium ovatifolium;Araceae;5
LOT03-214140/C;Anthurium;Anthurium ovatifolium;Araceae;4
LOT03-214140/H;Anthurium;Anthurium ovatifolium;Araceae;4
LOT03-21476/O;Anthurium;Anthurium ovatifolium;Araceae;4
LOT03-214140/P;Anthurium;Anthurium ovatifolium;Araceae;4
LOT03-214255/H;Anthurium;Anthurium ovatifolium;Araceae;4
LOT03-215235/O;Anthurium;Anthurium ovatifolium;Araceae;5
LOT03-215202/H;Anthurium;Anthurium ovatifolium;Araceae;5
LOT03-21457/O;Anthurium;Anthurium ovatifolium;Araceae;4
LOT03-215145/H;Anthurium;Anthurium scandens;Araceae;5
LOT03-456122/H;Anthurium;Anthurium scandens;Araceae;6
LOT03-456122/C;Anthurium;Anthurium scandens;Araceae;6
LOT03-21636/H;Anthurium;Anthurium scandens;Araceae;6
LOT03-456122/P;Anthurium;Anthurium scandens;Araceae;6
LOT03-456408/O;Anthurium;Anthurium scandens;Araceae;6
LOT03-456381/O;Anthurium;Anthurium scandens;Araceae;6
LOT03-454106/C;Anthurium;Anthurium sp. CC1;Araceae;4
LOT03-454106/H;Anthurium;Anthurium sp. CC1;Araceae;4
LOT03-455338/O;Anthurium;Anthurium sp. CC1;Araceae;5
LOT01-3453/H1;Anthurium;Anthurium sp. LV1;Araceae;0
LOT01-3450/H1;Anthurium;Anthurium trinervium;Araceae;0
LOT02-452182/H;Anthurium;Anthurium valenzuelae;Araceae;2
LOT02-21367/O;Anthurium;Anthurium valenzuelae;Araceae;3
LOT02-455105/H;Anthurium;Anthurium valenzuelae;Araceae;5
LOT01-3456/H1;Asplundia;Asplundia nonoensis;Cyclanthaceae;0
LOT01-3456/H2;Asplundia;Asplundia nonoensis;Cyclanthaceae;0
LOT02-18556/O;Barbosella;Barbosella cucullata;Orchidaceae;5
LOT02-18685/O;Barbosella;Barbosella cucullata;Orchidaceae;6
LOT02-18633/O;Barbosella;Barbosella cucullata;Orchidaceae;6
LOT02-18631/O;Barbosella;Barbosella cucullata;Orchidaceae;6
LOT02-18637/O;Barbosella;Barbosella cucullata;Orchidaceae;6
LOT02-18599/O;Barbosella;Barbosella cucullata;Orchidaceae;5
LOT02-18587/O;Barbosella;Barbosella cucullata;Orchidaceae;5
LOT02-18651/O;Barbosella;Barbosella cucullata;Orchidaceae;6
LOT02-18661/O;Barbosella;Barbosella cucullata;Orchidaceae;6
LOT02-18566/O;Barbosella;Barbosella cucullata;Orchidaceae;5
LOT02-18672/O;Barbosella;Barbosella cucullata;Orchidaceae;6
LOT02-18598/O;Barbosella;Barbosella cucullata;Orchidaceae;5
LOT02-18407/O;Barbosella;Barbosella cucullata;Orchidaceae;4
LOT02-213104/O;Barbosella;Barbosella cucullata;Orchidaceae;3
LOT02-18520/O;Barbosella;Barbosella cucullata;Orchidaceae;5
LOT02-18462/O;Barbosella;Barbosella cucullata;Orchidaceae;4
LOT02-18697/O;Barbosella;Barbosella cucullata;Orchidaceae;6
LOT02-18510/O;Barbosella;Barbosella cucullata;Orchidaceae;5
LOT02-18694/O;Barbosella;Barbosella cucullata;Orchidaceae;6
LOT02-21560/O;Barbosella;Barbosella cucullata;Orchidaceae;5
LOT02-45612/P;Barbosella;Barbosella cucullata;Orchidaceae;6
LOT02-45511/H;Barbosella;Barbosella cucullata;Orchidaceae;5
LOT03-456139/H;Barbosella;Barbosella orbicularis;Orchidaceae;6
LOT03-456139/C;Barbosella;Barbosella orbicularis;Orchidaceae;6
LOT02-18685/O;Barbosella;Barbosella vasquezii;Orchidaceae;6
LOT02-18689/O;Barbosella;Barbosella vasquezii;Orchidaceae;6
LOT02-18586/O;Barbosella;Barbosella vasquezii;Orchidaceae;5
LOT02-455154/H;Barbosella;Barbosella vasquezii;Orchidaceae;5
LOT02-451139/H;Begonia;Begonia hirta var. cordifolia;Begoniaceae;1
LOT02-453181/H;Begonia;Begonia subspinulosa;Begoniaceae;3
LOT02-455128/P;Beilschmiedia;Beilschmiedia latifolia;Lauracea;5
LOT02-455128/H;Beilschmiedia;Beilschmiedia latifolia;Lauracea;5
LOT01-3480/H1;Billbergia;Billbergia tessmannii;Bromeliaceae;0
LOT01-3480/H2;Billbergia;Billbergia tessmannii;Bromeliaceae;0
LOT01-3461/H2;Billbergia;Billbergia tessmannii;Bromeliaceae;0
LOT01-3461/H1;Billbergia;Billbergia tessmannii;Bromeliaceae;0
LOT01-3413/H2;Blakea;Blakea brasiliensis;Melastomataceae;0
LOT01-3413/H1;Blakea;Blakea brasiliensis;Melastomataceae;0
LOT01-3428/H1;Blakea;Blakea brasiliensis;Melastomataceae;0
LOT01-3428/A;Blakea;Blakea brasiliensis;Melastomataceae;0
LOT03-21468/O;Blakea;Blakea cf. latifolia;Melastomataceae;4
LOT03-21467/H;Blakea;Blakea cf. latifolia;Melastomataceae;4
LOT03-21467/C;Blakea;Blakea cf. latifolia;Melastomataceae;4
LOT03-455126/H;Blakea;Blakea cf. latifolia;Melastomataceae;5
LOT01-3403/H1;Blakea;Blakea hirsuta;Melastomataceae;0
LOT02-453186/H;Blakea;Blakea multiflora;Melastomataceae;3
LOT02-453186/P;Blakea;Blakea multiflora;Melastomataceae;3
LOT03-21466/C;Blakea;Blakea setosa;Melastomataceae;4
LOT03-21466/P;Blakea;Blakea setosa;Melastomataceae;4
LOT03-21466/H;Blakea;Blakea setosa;Melastomataceae;4
LOT03-216204/H;Blakea;Blakea sp. CC1;Melastomataceae;6
LOT03-215206/C;Blakea;Blakea sp. CC2;Melastomataceae;5
LOT03-215206/H;Blakea;Blakea sp. CC2;Melastomataceae;5
LOT01-3408/H1;Blakea;Blakea sp. LV1;Melastomataceae;0
LOT03-45501/P;Brosimum;Brosimum utile subsp. ovatifolium;Moraceae;5
LOT03-45501/C;Brosimum;Brosimum utile subsp. ovatifolium;Moraceae;5
LOT03-45501/H;Brosimum;Brosimum utile subsp. ovatifolium;Moraceae;5
LOT03-21587/O;Camaridium;Camaridium ferrugineum;Orchidaceae;5
LOT03-21563/O;Camaridium;Camaridium ferrugineum;Orchidaceae;5
LOT03-21643/H;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456140/C;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456131/H;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456100/P;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456131/C;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456131/P;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456100/C;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456140/H;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456100/H;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-21643/C;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456131/C;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-21554/O;Camaridium;Camaridium ferrugineum;Orchidaceae;5
LOT03-456402/O;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456433/O;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-456405/O;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-45685/H;Camaridium;Camaridium ferrugineum;Orchidaceae;6
LOT03-21647/C;Catopsis;Catopsis sessiliflora;Bromeliaceae;6
LOT03-21647/H;Catopsis;Catopsis sessiliflora;Bromeliaceae;6
LOT03-456147/H;Catopsis;Catopsis sessiliflora;Bromeliaceae;6
LOT03-456147/C;Catopsis;Catopsis sessiliflora;Bromeliaceae;6
LOT03-06599;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;5
LOT03-06697;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;6
LOT03-065125/H;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;5
LOT03-065125/P;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;5
LOT03-064123/T;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;4
LOT03-064138/D;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;4
LOT03-065125/R;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;5
LOT03-064138/T;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;4
LOT03-065125/D;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;5
LOT03-065125/T;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;5
LOT03-064138/D;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;4
LOT03-064123/H;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;4
LOT03-064123/P;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;4
LOT03-064123/R;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;4
LOT03-064123/D;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;4
LOT03-064138/R;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;4
LOT03-064138/H;Ceradenia;Ceradenia cf. clavipila;Polypodiaceae;4
LOT03-065152/P;Ceradenia;Ceradenia jungermannioides;Polypodiaceae;5
LOT03-065152/H;Ceradenia;Ceradenia jungermannioides;Polypodiaceae;5
LOT03-065152/D;Ceradenia;Ceradenia jungermannioides;Polypodiaceae;5
LOT03-06556/H;Ceradenia;Ceradenia jungermannioides;Polypodiaceae;5
LOT03-065152/T;Ceradenia;Ceradenia jungermannioides;Polypodiaceae;5
LOT03-065136/H;Ceradenia;Ceradenia sp. GC1;Polypodiaceae;5
LOT03-065136/D;Ceradenia;Ceradenia sp. GC1;Polypodiaceae;5
LOT03-06174;cf. Oleandra;cf. Oleandra sp. GC1;Oleandraceae;1
LOT03-06174/H;cf. Oleandra;cf. Oleandra sp. GC1;Oleandraceae;1
LOT03-06174/T;cf. Oleandra;cf. Oleandra sp. GC1;Oleandraceae;1
LOT03-06548/T;cf. Polypodium;cf. Polypodium sp. GC1;Polypodiaceae;5
LOT03-06548/H;cf. Polypodium;cf. Polypodium sp. GC1;Polypodiaceae;5
LOT03-21472/H;Clusia;Clusia cf. flavida;Clusiaceae;4
LOT03-454116/H;Clusia;Clusia cf. flavida;Clusiaceae;4
LOT03-21472/C;Clusia;Clusia cf. flavida;Clusiaceae;4
LOT03-21472/P;Clusia;Clusia cf. flavida;Clusiaceae;4
LOT03-455309/O;Clusia;Clusia cf. magnifolia;Clusiaceae;5
LOT03-21573/O;Clusia;Clusia cf. magnifolia;Clusiaceae;5
LOT03-455377/O;Clusia;Clusia cf. magnifolia;Clusiaceae;5
LOT03-455109/P;Clusia;Clusia cf. magnifolia;Clusiaceae;5
LOT03-455109/H;Clusia;Clusia cf. magnifolia;Clusiaceae;5
LOT03-455109/C;Clusia;Clusia cf. magnifolia;Clusiaceae;5
LOT03-455304/O;Clusia;Clusia cf. magnifolia;Clusiaceae;5
LOT03-45437/H;Clusia;Clusia cf. magnifolia;Clusiaceae;4
LOT03-45463/H;Clusia;Clusia cf. magnifolia;Clusiaceae;4
LOT03-45463/C;Clusia;Clusia cf. magnifolia;Clusiaceae;4
LOT03-455387/O;Clusia;Clusia cf. magnifolia;Clusiaceae;5
LOT03-215228/O;Clusia;Clusia cf. magnifolia;Clusiaceae;5
LOT03-214252/C;Clusia;Clusia cf. octandra;Clusiaceae;4
LOT03-214219/O;Clusia;Clusia cf. octandra;Clusiaceae;4
LOT03-214252/H;Clusia;Clusia cf. octandra;Clusiaceae;4
LOT03-21497/O;Clusia;Clusia cf. octandra;Clusiaceae;4
LOT03-45575/H;Clusia;Clusia cf. octandra;Clusiaceae;5
LOT03-455125/C;Clusia;Clusia cf. octandra;Clusiaceae;5
LOT03-455125/H;Clusia;Clusia cf. octandra;Clusiaceae;5
LOT03-454335/O;Clusia;Clusia cf. octandra;Clusiaceae;4
LOT03-215200/O;Clusia;Clusia cf. octandra;Clusiaceae;5
