LOT-SampleCode;Genus;Species;Family;TreeZone
LOT03-061142/P;Cyathea;Cyathea tortuosa;Cyatheaceae;1
LOT03-061142/D;Cyathea;Cyathea tortuosa;Cyatheaceae;1
LOT03-214203/O;Cybianthus;Cybianthus magnus;Primulaceae;4
LOT03-215241/H;Cybianthus;Cybianthus magnus;Primulaceae;5
LOT03-45577/H;Cybianthus;Cybianthus magnus;Primulaceae;5
LOT03-21530/P;Cybianthus;Cybianthus magnus;Primulaceae;5
LOT03-214120/P;Cybianthus;Cybianthus magnus;Primulaceae;4
LOT03-215241/C;Cybianthus;Cybianthus magnus;Primulaceae;5
LOT03-45417/C;Cybianthus;Cybianthus magnus;Primulaceae;4
LOT03-454303/O;Cybianthus;Cybianthus magnus;Primulaceae;4
LOT03-45417/H;Cybianthus;Cybianthus magnus;Primulaceae;4
LOT03-214120/H;Cybianthus;Cybianthus magnus;Primulaceae;4
LOT03-21530/H;Cybianthus;Cybianthus magnus;Primulaceae;5
LOT03-214120/C;Cybianthus;Cybianthus magnus;Primulaceae;4
LOT03-21530/C;Cybianthus;Cybianthus magnus;Primulaceae;5
LOT03-45417/P;Cybianthus;Cybianthus magnus;Primulaceae;4
LOT03-45423/H;Cybianthus;Cybianthus magnus;Primulaceae;4
LOT02-450116/H;Cyrtochilum;Cyrtochilum caespitosum;Orchidaceae;0
LOT02-454166/H;Cyrtochilum;Cyrtochilum caespitosum;Orchidaceae;4
LOT02-454165/H;Cyrtochilum;Cyrtochilum cimiciferum;Orchidaceae;4
LOT02-451178/H;Cyrtochilum;Cyrtochilum myanthum;Orchidaceae;1
LOT02-451176/H;Cyrtochilum;Cyrtochilum pastorellii;Orchidaceae;1
LOT02-455127/P;Demosthenesia;Demosthenesia sp. LV1;Ericaceae;5
LOT02-455127/H;Demosthenesia;Demosthenesia sp. LV1;Ericaceae;5
LOT02-213124/O;Demosthenesia;Demosthenesia sp. LV1;Ericaceae;3
LOT02-213114/O;Demosthenesia;Demosthenesia sp. LV1;Ericaceae;3
LOT02-18495/O;Demosthenesia;Demosthenesia sp. LV1;Ericaceae;4
LOT02-18440/O;Demosthenesia;Demosthenesia sp. LV1;Ericaceae;4
LOT02-10536/O;Demosthenesia;Demosthenesia sp. LV1;Ericaceae;5
LOT02-18599/O;Demosthenesia;Demosthenesia sp. LV1;Ericaceae;5
LOT02-21542/O;Demosthenesia;Demosthenesia sp. LV1;Ericaceae;5
LOT02-45695/H;Demosthenesia;Demosthenesia sp. LV1;Ericaceae;6
LOT02-45499/H;Demosthenesia;Demosthenesia spectabilis;Ericaceae;4
LOT03-21579/H;Dichaea;Dichaea sp. CC1;Orchidaceae;5
LOT01-3484/H1;Dichorisandra;Dichorisandra hexandra;Commelinaceae;0
LOT01-3485/H1;Dichorisandra;Dichorisandra ulei;Commelinaceae;0
LOT02-455101/H;Disterigma;Disterigma alaternoides;Ericaceae;5
LOT02-21510/O;Disterigma;Disterigma alaternoides;Ericaceae;5
LOT02-456150/P;Disterigma;Disterigma ulei;Ericaceae;6
LOT02-18627/O;Disterigma;Disterigma ulei;Ericaceae;6
LOT02-18625/O;Disterigma;Disterigma ulei;Ericaceae;6
LOT02-18577/O;Disterigma;Disterigma ulei;Ericaceae;5
LOT02-16506/O;Disterigma;Disterigma ulei;Ericaceae;5
LOT02-455150/H;Disterigma;Disterigma ulei;Ericaceae;5
LOT02-45698/P;Disterigma;Disterigma ulei;Ericaceae;6
LOT02-45697/H;Disterigma;Disterigma ulei;Ericaceae;6
LOT02-451136/H;Draconanthes;Draconanthes caudatisepala;Orchidaceae;1
LOT01-3452/H1;Drymonia;Drymonia coccinea;Gesneriaceae;0
LOT03-214254/H;Echinosepala;Echinosepala cf. lappiformis;Orchidaceae;4
LOT03-214254/C;Echinosepala;Echinosepala cf. lappiformis;Orchidaceae;4
LOT03-214254/O;Echinosepala;Echinosepala cf. lappiformis;Orchidaceae;4
LOT03-064119/C;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-064119/D;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06401/H;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-064119/H;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06411;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-064110;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-064119/P;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-064119/R;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06479;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-064119/T;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06467;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06403/H;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06463;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06459/T;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06459/H;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06426;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06542/T;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;5
LOT03-06542/H;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;5
LOT03-06403/C;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;4
LOT03-06542/D;Elaphoglossum;Elaphoglossum aff. velongum;Dryopteridaceae;5
LOT03-066106/R;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;6
LOT03-066107/T;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;6
LOT03-066106/T;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;6
LOT03-066107/H;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;6
LOT03-066106/P;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;6
LOT03-066106/H;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;6
LOT03-066107/P;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;6
LOT03-06555;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-064111;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;4
LOT03-065114/P;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-06462;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;4
LOT03-065114/C;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-065114/D;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-065124/T;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-065124/R;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-06519;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-065124/H;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-06521;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-065108/H;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-065124/D;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-06468;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;4
LOT03-065108/P;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-065114/T;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-065108/T;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-06431;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;4
LOT03-065114/H;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-064120/P;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;4
LOT03-06557;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-06553/T;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-06553/H;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-06551;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-06550/T;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-06550/H;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-065124/P;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-064120/H;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;4
LOT03-064120/R;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;4
LOT03-064120/T;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;4
LOT03-06488;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;4
LOT03-06524;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;5
LOT03-064120/D;Elaphoglossum;Elaphoglossum andicola;Dryopteridaceae;4
LOT03-06546/T;Elaphoglossum;Elaphoglossum cf. lingua;Dryopteridaceae;5
LOT03-06546/H;Elaphoglossum;Elaphoglossum cf. lingua;Dryopteridaceae;5
LOT03-06415/H;Elaphoglossum;Elaphoglossum cf. lingua;Dryopteridaceae;4
LOT03-06415/P;Elaphoglossum;Elaphoglossum cf. lingua;Dryopteridaceae;4
LOT03-06415/T;Elaphoglossum;Elaphoglossum cf. lingua;Dryopteridaceae;4
LOT03-06546/D;Elaphoglossum;Elaphoglossum cf. lingua;Dryopteridaceae;5
LOT03-06178/H;Elaphoglossum;Elaphoglossum erinaceum;Dryopteridaceae;1
LOT03-06178/T;Elaphoglossum;Elaphoglossum erinaceum;Dryopteridaceae;1
LOT03-06517/T;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;5
LOT03-064141/T;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;4
LOT03-06517/D;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;5
LOT03-065112/T;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;5
LOT03-06517/P;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;5
LOT03-06517/H;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;5
LOT03-065112/C;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;5
LOT03-065112/P;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;5
LOT03-065112/D;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;5
LOT03-064141/H;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;4
LOT03-065112/H;Elaphoglossum;Elaphoglossum lingua;Dryopteridaceae;5
LOT03-06404/H;Elaphoglossum;Elaphoglossum sp. GC1;Dryopteridaceae;4
LOT02-18682/O;Elleanthus;Elleanthus amethystinus;Orchidaceae;6
LOT02-21183/O;Elleanthus;Elleanthus amethystinus;Orchidaceae;1
LOT02-213125/O;Elleanthus;Elleanthus amethystinus;Orchidaceae;3
LOT02-45536/H;Elleanthus;Elleanthus amethystinus;Orchidaceae;5
LOT03-455328/O;Elleanthus;Elleanthus furfuraceus;Orchidaceae;5
LOT03-45416/H;Elleanthus;Elleanthus furfuraceus;Orchidaceae;4
LOT03-45424/C;Elleanthus;Elleanthus furfuraceus;Orchidaceae;4
LOT03-45432/C;Elleanthus;Elleanthus furfuraceus;Orchidaceae;4
LOT03-21495/O;Elleanthus;Elleanthus furfuraceus;Orchidaceae;4
LOT03-45424/H;Elleanthus;Elleanthus furfuraceus;Orchidaceae;4
LOT03-45432/H;Elleanthus;Elleanthus furfuraceus;Orchidaceae;4
LOT03-45443/H;Elleanthus;Elleanthus furfuraceus;Orchidaceae;4
LOT03-455340/O;Elleanthus;Elleanthus furfuraceus;Orchidaceae;5
LOT03-21629/P;Elleanthus;Elleanthus graminifolius;Orchidaceae;6
LOT03-21629/C;Elleanthus;Elleanthus graminifolius;Orchidaceae;6
LOT03-21629/H;Elleanthus;Elleanthus graminifolius;Orchidaceae;6
LOT02-18520/O;Elleanthus;Elleanthus longibracteatus;Orchidaceae;5
LOT02-18504/O;Elleanthus;Elleanthus longibracteatus;Orchidaceae;5
LOT02-18409/O;Elleanthus;Elleanthus longibracteatus;Orchidaceae;4
LOT02-18521/O;Elleanthus;Elleanthus longibracteatus;Orchidaceae;5
LOT02-18495/O;Elleanthus;Elleanthus longibracteatus;Orchidaceae;4
LOT02-18591/O;Elleanthus;Elleanthus longibracteatus;Orchidaceae;5
LOT02-18631/O;Elleanthus;Elleanthus longibracteatus;Orchidaceae;6
LOT02-18599/O;Elleanthus;Elleanthus longibracteatus;Orchidaceae;5
LOT02-45435/P;Elleanthus;Elleanthus longibracteatus;Orchidaceae;4
LOT02-45534/H;Elleanthus;Elleanthus longibracteatus;Orchidaceae;5
LOT02-21447/O;Elleanthus;Elleanthus longibracteatus;Orchidaceae;4
LOT02-455107/H;Elleanthus;Elleanthus longibracteatus;Orchidaceae;5
LOT02-18685/O;Elleanthus;Elleanthus magnicallosus;Orchidaceae;6
LOT02-213115/O;Elleanthus;Elleanthus magnicallosus;Orchidaceae;3
LOT02-18599/O;Elleanthus;Elleanthus magnicallosus;Orchidaceae;5
LOT02-21446/O;Elleanthus;Elleanthus magnicallosus;Orchidaceae;4
LOT02-45433/H;Elleanthus;Elleanthus magnicallosus;Orchidaceae;4
LOT02-45433/P;Elleanthus;Elleanthus magnicallosus;Orchidaceae;4
LOT01-3419/H1;Elleanthus;Elleanthus oliganthus;Orchidaceae;0
LOT02-45628/H;Epidendrum;Epidendrum coilotrienum;Orchidaceae;6
LOT02-45628/P;Epidendrum;Epidendrum coilotrienum;Orchidaceae;6
LOT02-455167/P;Epidendrum;Epidendrum geminiochraceum;Orchidaceae;5
LOT02-455167/H;Epidendrum;Epidendrum geminiochraceum;Orchidaceae;5
LOT02-18598/O;Epidendrum;Epidendrum geminiochraceum;Orchidaceae;5
LOT02-18599/O;Epidendrum;Epidendrum geminiochraceum;Orchidaceae;5
LOT02-18596/O;Epidendrum;Epidendrum geminiochraceum;Orchidaceae;5
LOT02-21184/O;Epidendrum;Epidendrum geminiochraceum;Orchidaceae;1
LOT02-21617/O;Epidendrum;Epidendrum geminiochraceum;Orchidaceae;6
LOT02-455162/H;Epidendrum;Epidendrum miradoranum;Orchidaceae;5
LOT02-18586/O;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;5
LOT02-18592/O;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;5
LOT02-18693/O;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;6
LOT02-18689/O;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;6
LOT02-18652/O;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;6
LOT02-21024/O;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;0
LOT02-45632/L;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;6
LOT02-21561/O;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;5
LOT02-45632/H;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;6
LOT02-21604/O;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;6
LOT02-45632/L;Epidendrum;Epidendrum vidal-senegei;Orchidaceae;6
LOT03-21639/C;Epidendrum;Epidendrum villotae;Orchidaceae;6
LOT03-21639/H;Epidendrum;Epidendrum villotae;Orchidaceae;6
LOT03-456143/H;Epilyna;Epilyna hirtzii;Orchidaceae;6
LOT03-456143/C;Epilyna;Epilyna hirtzii;Orchidaceae;6
LOT02-45583/H;Eusrystyles;Eusrystyles christensonii;Orchidaceae;5
LOT02-455147/H;Fernandezia;Fernandezia subbiflora;Orchidaceae;5
LOT01-3418/H1;Ficus;Ficus americana;Moraceae;0
LOT01-3418/H2;Ficus;Ficus americana;Moraceae;0
LOT02-455124/H;Ficus;Ficus americana subsp. andicola;Moraceae;5
LOT02-455124/P;Ficus;Ficus americana subsp. andicola;Moraceae;5
LOT01-3417/H1;Ficus;Ficus obtusifolia;Moraceae;0
LOT01-3417/H2;Ficus;Ficus obtusifolia;Moraceae;0
LOT01-3407/H2;Ficus;Ficus trigonata;Moraceae;0
LOT01-3407/H1;Ficus;Ficus trigonata;Moraceae;0
LOT02-455160/H;Gomphichis;Gomphichis koehleri;Orchidaceae;5
LOT02-16505/O;Gomphichis;Gomphichis sp. LV1;Orchidaceae;5
LOT02-45552/H;Gomphichis;Gomphichis sp. LV1;Orchidaceae;5
LOT02-45553/P;Gomphichis;Gomphichis sp. LV1;Orchidaceae;5
LOT03-45410/H;Guzmania;Guzmania asplundii;Bromeliaceae;4
LOT03-45445/H;Guzmania;Guzmania asplundii;Bromeliaceae;4
LOT03-455359/O;Guzmania;Guzmania asplundii;Bromeliaceae;5
LOT03-455330/O;Guzmania;Guzmania asplundii;Bromeliaceae;5
LOT03-45579/H;Guzmania;Guzmania asplundii;Bromeliaceae;5
LOT03-45445/C;Guzmania;Guzmania asplundii;Bromeliaceae;4
LOT03-45410/H;Guzmania;Guzmania asplundii;Bromeliaceae;4
LOT03-45440/H;Guzmania;Guzmania asplundii;Bromeliaceae;4
LOT03-454114/H;Guzmania;Guzmania asplundii;Bromeliaceae;4
LOT03-454114/C;Guzmania;Guzmania asplundii;Bromeliaceae;4
LOT03-455337/O;Guzmania;Guzmania asplundii;Bromeliaceae;5
LOT02-451125/H;Guzmania;Guzmania besseae;Bromeliaceae;1
LOT02-212132/O;Guzmania;Guzmania besseae;Bromeliaceae;2
LOT01-3464/H2;Guzmania;Guzmania calothyrsus;Bromeliaceae;0
LOT01-3464/H1;Guzmania;Guzmania calothyrsus;Bromeliaceae;0
LOT03-455310/O;Guzmania;Guzmania cf. brasiliensis;Bromeliaceae;5
LOT03-45467/C;Guzmania;Guzmania cf. brasiliensis;Bromeliaceae;4
LOT03-455115/C;Guzmania;Guzmania cf. brasiliensis;Bromeliaceae;5
LOT03-45568/H;Guzmania;Guzmania cf. brasiliensis;Bromeliaceae;5
LOT03-45467/H;Guzmania;Guzmania cf. brasiliensis;Bromeliaceae;4
LOT03-45502/H;Guzmania;Guzmania cf. brasiliensis;Bromeliaceae;5
LOT03-45502/C;Guzmania;Guzmania cf. brasiliensis;Bromeliaceae;5
LOT03-455115/P;Guzmania;Guzmania cf. brasiliensis;Bromeliaceae;5
LOT03-455115/H;Guzmania;Guzmania cf. brasiliensis;Bromeliaceae;5
LOT03-45418/H;Guzmania;Guzmania cf. coriostachya;Bromeliaceae;4
LOT03-45418/C;Guzmania;Guzmania cf. coriostachya;Bromeliaceae;4
LOT01-3482/H1;Guzmania;Guzmania confusa;Bromeliaceae;0
LOT01-3470/H1;Guzmania;Guzmania confusa;Bromeliaceae;0
LOT01-3470/H2;Guzmania;Guzmania confusa;Bromeliaceae;0
LOT02-18580/O;Guzmania;Guzmania danielii;Bromeliaceae;5
LOT02-18513/O;Guzmania;Guzmania danielii;Bromeliaceae;5
LOT02-18630/O;Guzmania;Guzmania danielii;Bromeliaceae;6
LOT02-18685/O;Guzmania;Guzmania danielii;Bromeliaceae;6
LOT02-18648/O;Guzmania;Guzmania danielii;Bromeliaceae;6
LOT02-18636/O;Guzmania;Guzmania danielii;Bromeliaceae;6
LOT02-45662/P;Guzmania;Guzmania danielii;Bromeliaceae;6
LOT02-45461/H;Guzmania;Guzmania danielii;Bromeliaceae;4
LOT02-18652/O;Guzmania;Guzmania killipiana;Bromeliaceae;6
LOT02-18661/O;Guzmania;Guzmania killipiana;Bromeliaceae;6
LOT02-18649/O;Guzmania;Guzmania killipiana;Bromeliaceae;6
LOT02-18411/O;Guzmania;Guzmania killipiana;Bromeliaceae;4
LOT02-18682/O;Guzmania;Guzmania killipiana;Bromeliaceae;6
LOT02-18649/O;Guzmania;Guzmania killipiana;Bromeliaceae;6
LOT02-18501/O;Guzmania;Guzmania killipiana;Bromeliaceae;5
LOT02-18630/O;Guzmania;Guzmania killipiana;Bromeliaceae;6
LOT02-18693/O;Guzmania;Guzmania killipiana;Bromeliaceae;6
LOT02-18469/O;Guzmania;Guzmania killipiana;Bromeliaceae;4
LOT02-45664/P;Guzmania;Guzmania killipiana;Bromeliaceae;6
LOT02-45563/H;Guzmania;Guzmania killipiana;Bromeliaceae;5
LOT02-45465/P;Guzmania;Guzmania killipiana;Bromeliaceae;4
LOT02-45465/H;Guzmania;Guzmania killipiana;Bromeliaceae;4
LOT02-45589/H;Guzmania;Guzmania paniculata;Bromeliaceae;5
LOT02-18632/O;Guzmania;Guzmania squarrosa;Bromeliaceae;6
LOT02-18636/O;Guzmania;Guzmania squarrosa;Bromeliaceae;6
LOT02-18672/O;Guzmania;Guzmania squarrosa;Bromeliaceae;6
LOT02-18693/O;Guzmania;Guzmania squarrosa;Bromeliaceae;6
LOT02-18469/O;Guzmania;Guzmania squarrosa;Bromeliaceae;4
LOT02-18648/O;Guzmania;Guzmania squarrosa;Bromeliaceae;6
LOT02-45669/P;Guzmania;Guzmania squarrosa;Bromeliaceae;6
LOT02-45468/H;Guzmania;Guzmania squarrosa;Bromeliaceae;4
LOT01-3402/H2;Hillia;Hillia macrophylla;Rubiaceae;0
LOT01-3402/H1;Hillia;Hillia macrophylla;Rubiaceae;0
LOT03-065134/P;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;5
LOT03-065113;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;5
LOT03-065134/C;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;5
LOT03-065101/H;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;5
LOT03-065101/T;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;5
LOT03-065134/D;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;5
LOT03-06486/D;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;4
LOT03-065134/H;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;5
LOT03-06486/P;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;4
LOT03-065134/R;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;5
LOT03-065134/T;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;5
LOT03-06427/T;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;4
LOT03-06486/C;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;4
LOT03-06486/T;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;4
LOT03-06486/R;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;4
LOT03-06486/H;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;4
LOT03-06427/H;Hymenophyllum;Hymenophyllum apiculatum;Hymenophyllaceae;4
LOT03-064131/T;Hymenophyllum;Hymenophyllum cf. abruptum;Hymenophyllaceae;4
LOT03-064131/C;Hymenophyllum;Hymenophyllum cf. abruptum;Hymenophyllaceae;4
LOT03-064131/D;Hymenophyllum;Hymenophyllum cf. abruptum;Hymenophyllaceae;4
LOT03-064131/H;Hymenophyllum;Hymenophyllum cf. abruptum;Hymenophyllaceae;4
LOT03-064131/R;Hymenophyllum;Hymenophyllum cf. abruptum;Hymenophyllaceae;4
LOT03-064131/P;Hymenophyllum;Hymenophyllum cf. abruptum;Hymenophyllaceae;4
LOT03-06547/H;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-06469;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;4
LOT03-065117/T;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-064144/D;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;4
LOT03-064144/D;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;4
LOT03-065100/T;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065100/P;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-06543/T;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065117/H;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-064144/H;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;4
LOT03-06547/R;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065117/D;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065100/H;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-06547/T;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-064118/T;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;4
LOT03-064118/H;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;4
LOT03-06495;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;4
LOT03-06547/D;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065126/R;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065126/T;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-06543/H;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065126/P;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065126/H;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065126/D;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065126/C;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065104/H;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-065104/T;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-06543/D;Hymenophyllum;Hymenophyllum crispum;Hymenophyllaceae;5
LOT03-06172;Hymenophyllum;Hymenophyllum polyanthos;Hymenophyllaceae;1
LOT03-06172/H;Hymenophyllum;Hymenophyllum polyanthos;Hymenophyllaceae;1
LOT03-06172/T;Hymenophyllum;Hymenophyllum polyanthos;Hymenophyllaceae;1
LOT02-455171/P;Hymenophyllum;Hymenophyllum tegularis;Hymenophyllaceae;5
LOT02-455171/H;Hymenophyllum;Hymenophyllum tegularis;Hymenophyllaceae;5
LOT03-06410/C;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06461;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06490/P;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06490/R;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06490/T;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06433;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-064132/H;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06490/D;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06410/H;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-064132/D;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06410/P;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06493/H;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06493/P;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-064132/P;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-064132/R;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
LOT03-06490/H;Hymenophyllum;Hymenophyllum tomentosum;Hymenophyllaceae;4
