LOT-SampleCode;TreeZone
LOT03-06488;4
LOT03-065140;5
LOT03-06522;5
LOT03-065140;5
LOT03-06470;4
LOT03-065140;5
LOT03-06522;5
LOT03-06522;5
LOT03-06522;5
LOT03-06522;5
LOT03-06522;5
LOT01-34061;0
LOT01-34062;0
LOT01-34262;0
LOT01-34261;0
LOT03-45452;4
LOT03-45452;4
LOT03-45420;4
LOT03-45415;4
LOT03-455104;5
LOT03-455104;5
LOT03-455104;5
LOT03-21494;4
LOT03-45435;4
LOT03-45420;4
LOT03-45420;4
LOT03-45403;4
LOT03-45448;4
LOT03-45403;4
LOT03-455104;5
LOT03-21580;5
LOT03-45403;4
LOT03-454443;4
LOT03-456365;6
LOT02-455161;5
LOT03-064130;4
LOT03-064130;4
LOT03-064130;4
LOT03-064139;4
LOT03-064130;4
LOT03-061142;1
LOT03-061142;1
LOT03-061142;1
LOT03-061142;1
LOT03-061142;1
LOT03-214203;4
LOT03-215241;5
LOT03-45577;5
LOT03-21530;5
LOT03-214120;4
LOT03-215241;5
LOT03-45417;4
LOT03-454303;4
LOT03-45417;4
LOT03-214120;4
LOT03-21530;5
LOT03-214120;4
LOT03-21530;5
LOT03-45417;4
LOT03-45423;4
LOT02-450116;0
LOT02-454166;4
LOT02-454165;4
LOT02-451178;1
LOT02-451176;1
LOT02-455127;5
LOT02-455127;5
LOT02-213124;3
LOT02-213114;3
LOT02-18495;4
LOT02-18440;4
LOT02-10536;5
LOT02-18599;5
LOT02-21542;5
LOT02-45695;6
LOT02-45499;4
LOT03-21579;5
LOT01-34841;0
LOT01-34851;0
LOT02-455101;5
LOT02-21510;5
LOT02-456150;6
LOT02-18627;6
LOT02-18625;6
LOT02-18577;5
LOT02-16506;5
LOT02-455150;5
LOT02-45698;6
LOT02-45697;6
LOT02-451136;1
LOT01-34521;0
LOT03-214254;4
LOT03-214254;4
LOT03-214254;4
LOT03-064119;4
LOT03-064119;4
LOT03-06401;4
LOT03-064119;4
LOT03-06411;4
LOT03-064110;4
LOT03-064119;4
LOT03-064119;4
LOT03-06479;4
LOT03-064119;4
LOT03-06467;4
LOT03-06403;4
LOT03-06463;4
LOT03-06459;4
LOT03-06459;4
LOT03-06426;4
LOT03-06542;5
LOT03-06542;5
LOT03-06403;4
LOT03-06542;5
LOT03-066106;6
LOT03-066107;6
LOT03-066106;6
LOT03-066107;6
LOT03-066106;6
LOT03-066106;6
LOT03-066107;6
LOT03-06555;5
LOT03-064111;4
LOT03-065114;5
LOT03-06462;4
LOT03-065114;5
LOT03-065114;5
LOT03-065124;5
LOT03-065124;5
LOT03-06519;5
LOT03-065124;5
LOT03-06521;5
LOT03-065108;5
LOT03-065124;5
LOT03-06468;4
LOT03-065108;5
LOT03-065114;5
LOT03-065108;5
LOT03-06431;4
LOT03-065114;5
LOT03-064120;4
LOT03-06557;5
LOT03-06553;5
LOT03-06553;5
LOT03-06551;5
LOT03-06550;5
LOT03-06550;5
LOT03-065124;5
LOT03-064120;4
LOT03-064120;4
LOT03-064120;4
LOT03-06488;4
LOT03-06524;5
LOT03-064120;4
LOT03-06546;5
LOT03-06546;5
LOT03-06415;4
LOT03-06415;4
LOT03-06415;4
LOT03-06546;5
LOT03-06178;1
LOT03-06178;1
LOT03-06517;5
LOT03-064141;4
LOT03-06517;5
LOT03-065112;5
LOT03-06517;5
LOT03-06517;5
LOT03-065112;5
LOT03-065112;5
LOT03-065112;5
LOT03-064141;4
LOT03-065112;5
LOT03-06404;4
LOT02-18682;6
LOT02-21183;1
LOT02-213125;3
LOT02-45536;5
LOT03-455328;5
LOT03-45416;4
LOT03-45424;4
LOT03-45432;4
LOT03-21495;4
LOT03-45424;4
LOT03-45432;4
LOT03-45443;4
LOT03-455340;5
LOT03-21629;6
LOT03-21629;6
LOT03-21629;6
LOT02-18520;5
LOT02-18504;5
LOT02-18409;4
LOT02-18521;5
LOT02-18495;4
LOT02-18591;5
LOT02-18631;6
LOT02-18599;5
LOT02-45435;4
LOT02-45534;5
LOT02-21447;4
LOT02-455107;5
LOT02-18685;6
LOT02-213115;3
LOT02-18599;5
LOT02-21446;4
LOT02-45433;4
LOT02-45433;4
LOT01-34191;0
LOT02-45628;6
LOT02-45628;6
LOT02-455167;5
LOT02-455167;5
LOT02-18598;5
LOT02-18599;5
LOT02-18596;5
LOT02-21184;1
LOT02-21617;6
LOT02-455162;5
LOT02-18586;5
LOT02-18592;5
LOT02-18693;6
LOT02-18689;6
LOT02-18652;6
LOT02-21024;0
LOT02-45632;6
LOT02-21561;5
LOT02-45632;6
LOT02-21604;6
LOT02-45632;6
LOT03-21639;6
LOT03-21639;6
LOT03-456143;6
LOT03-456143;6
LOT02-45583;5
LOT02-455147;5
LOT01-34181;0
LOT01-34182;0
LOT02-455124;5
LOT02-455124;5
LOT01-34171;0
LOT01-34172;0
LOT01-34072;0
LOT01-34071;0
LOT02-455160;5
LOT02-16505;5
LOT02-45552;5
LOT02-45553;5
LOT03-45410;4
LOT03-45445;4
LOT03-455359;5
LOT03-455330;5
LOT03-45579;5
LOT03-45445;4
LOT03-45410;4
LOT03-45440;4
LOT03-454114;4
LOT03-454114;4
LOT03-455337;5
LOT02-451125;1
LOT02-212132;2
LOT01-34642;0
LOT01-34641;0
LOT03-455310;5
LOT03-45467;4
LOT03-455115;5
LOT03-45568;5
LOT03-45467;4
LOT03-45502;5
LOT03-45502;5
LOT03-455115;5
LOT03-455115;5
LOT03-45418;4
LOT03-45418;4
LOT01-34821;0
LOT01-34701;0
LOT01-34702;0
LOT02-18580;5
LOT02-18513;5
LOT02-18630;6
LOT02-18685;6
LOT02-18648;6
LOT02-18636;6
LOT02-45662;6
LOT02-45461;4
LOT02-18652;6
LOT02-18661;6
LOT02-18649;6
LOT02-18411;4
LOT02-18682;6
LOT02-18649;6
LOT02-18501;5
LOT02-18630;6
LOT02-18693;6
LOT02-18469;4
LOT02-45664;6
LOT02-45563;5
LOT02-45465;4
LOT02-45465;4
LOT02-45589;5
LOT02-18632;6
LOT02-18636;6
LOT02-18672;6
LOT02-18693;6
LOT02-18469;4
LOT02-18648;6
LOT02-45669;6
LOT02-45468;4
LOT01-34022;0
LOT01-34021;0
LOT03-065134;5
LOT03-065113;5
LOT03-065134;5
LOT03-065101;5
LOT03-065101;5
LOT03-065134;5
LOT03-06486;4
LOT03-065134;5
LOT03-06486;4
LOT03-065134;5
LOT03-065134;5
LOT03-06427;4
LOT03-06486;4
LOT03-06486;4
LOT03-06486;4
LOT03-06486;4
LOT03-06427;4
LOT03-064131;4
LOT03-064131;4
LOT03-064131;4
LOT03-064131;4
LOT03-064131;4
LOT03-064131;4
LOT03-06547;5
LOT03-06469;4
LOT03-065117;5
LOT03-064144;4
LOT03-064144;4
LOT03-065100;5
LOT03-065100;5
LOT03-06543;5
LOT03-065117;5
LOT03-064144;4
LOT03-06547;5
LOT03-065117;5
LOT03-065100;5
LOT03-06547;5
LOT03-064118;4
LOT03-064118;4
LOT03-06495;4
LOT03-06547;5
LOT03-065126;5
LOT03-065126;5
LOT03-06543;5
LOT03-065126;5
LOT03-065126;5
LOT03-065126;5
LOT03-065126;5
LOT03-065104;5
LOT03-065104;5
LOT03-06543;5
LOT03-06172;1
LOT03-06172;1
LOT03-06172;1
LOT02-455171;5
LOT02-455171;5
LOT03-06410;4
LOT03-06461;4
LOT03-06490;4
LOT03-06490;4
LOT03-06490;4
LOT03-06433;4
LOT03-064132;4
LOT03-06490;4
LOT03-06410;4
LOT03-064132;4
LOT03-06410;4
LOT03-06493;4
LOT03-06493;4
LOT03-064132;4
LOT03-064132;4
LOT03-06490;4
LOT03-06525;5
LOT03-064132;4
LOT03-06466;4
LOT03-065103;5
LOT03-06405;4
LOT03-06405;4
LOT03-06481;4
LOT03-064132;4
LOT03-06493;4
LOT03-06409;4
LOT03-21474;4
LOT03-21474;4
LOT03-21474;4
LOT03-21475;4
LOT03-455347;5
LOT03-456417;6
LOT03-456421;6
LOT03-456444;6
LOT03-456415;6
LOT03-456406;6
LOT03-456427;6
LOT03-45687;6
LOT03-45687;6
LOT03-45687;6
LOT03-45687;6
LOT03-456369;6
LOT03-456390;6
LOT03-456431;6
LOT03-456394;6
LOT03-215118;5
LOT03-215118;5
LOT03-215118;5
LOT03-456370;6
LOT01-34352;0
LOT01-34351;0
LOT02-451173;1
LOT02-451173;1
LOT02-451175;1
LOT02-21186;1
LOT02-450118;0
LOT02-21293;2
LOT02-450117;0
LOT02-452183;2
LOT01-3459;0
LOT01-34591;0
LOT01-34781;0
LOT01-34782;0
LOT03-21496;4
LOT03-45560;5
LOT03-21496;4
LOT03-21496;4
LOT03-45560;5
LOT03-454336;4
LOT03-216213;6
LOT03-45560;5
LOT03-455376;5
LOT03-216213;6
LOT02-211128;1
LOT02-451138;1
LOT01-34921;0
LOT01-34931;0
LOT02-18504;5
LOT02-18579;5
LOT02-18516;5
LOT02-18550;5
LOT02-213119;3
LOT02-21398;3
LOT02-45455;4
LOT02-45455;4
LOT02-21572;5
LOT02-45455;4
LOT02-18631;6
LOT02-45647;6
LOT02-45647;6
LOT02-453187;3
LOT02-453187;3
LOT03-216208;6
LOT03-216208;6
LOT02-452189;2
LOT02-18495;4
LOT02-456153;6
LOT01-3479;0
LOT01-34791;0
LOT02-45603;6
LOT02-18668;6
LOT02-18694;6
LOT02-18563;5
LOT02-18673;6
LOT02-18495;4
LOT02-18697;6
LOT02-18558;5
LOT02-18556;5
LOT02-18504;5
LOT02-18516;5
LOT02-18522;5
LOT02-18547;5
LOT02-18545;5
LOT02-18518;5
LOT02-18689;6
LOT02-18682;6
LOT02-18591;5
LOT02-18633;6
LOT02-18423;4
LOT02-18626;6
LOT02-18651;6
LOT02-18587;5
LOT02-18657;6
LOT02-18649;6
LOT02-18598;5
LOT02-18584;5
LOT02-18581;5
LOT02-18685;6
LOT02-18580;5
LOT02-18648;6
LOT02-18590;5
LOT02-18625;6
LOT02-18502;5
LOT02-18629;6
LOT02-18565;5
LOT02-18632;6
LOT02-18566;5
LOT02-18630;6
LOT02-18639;6
LOT02-18628;6
LOT02-18577;5
LOT02-18627;6
LOT02-18579;5
LOT02-18631;6
LOT02-455111;5
LOT02-455112;5
LOT02-21650;6
LOT02-45601;6
LOT02-45443;4
LOT02-45601;6
LOT02-21557;5
LOT02-45602;6
LOT02-21636;6
LOT02-21510;5
LOT02-455112;5
LOT02-211129;1
LOT02-213122;3
LOT02-18471;4
LOT02-213135;3
LOT02-213108;3
LOT02-18440;4
LOT02-212110;2
LOT02-21445;4
LOT02-45446;4
LOT02-21370;3
LOT02-45446;4
LOT02-456149;6
LOT02-456149;6
LOT02-456158;6
LOT02-456158;6
LOT02-18670;6
LOT02-10538;5
LOT02-18558;5
LOT02-18630;6
LOT02-18676;6
LOT02-18516;5
LOT02-18411;4
LOT02-18580;5
LOT02-18672;6
LOT02-18563;5
LOT02-21540;5
LOT02-45604;6
LOT02-45605;6
LOT02-21510;5
LOT02-21516;5
LOT02-21502;5
LOT01-34911;0
LOT02-18495;4
LOT02-45559;5
LOT02-45654;6
LOT02-451177;1
LOT02-18639;6
LOT02-18577;5
LOT02-18579;5
LOT02-18591;5
LOT02-18597;5
LOT02-18592;5
LOT02-18651;6
LOT02-18587;5
LOT02-18689;6
LOT02-18598;5
LOT02-21292;2
LOT02-21556;5
LOT02-45608;6
LOT02-45609;6
LOT02-18579;5
LOT02-21185;1
LOT02-45544;5
LOT03-21561;5
LOT03-21561;5
LOT03-216230;6
LOT03-216230;6
LOT03-214233;4
LOT03-45578;5
LOT03-455111;5
LOT03-455111;5
LOT03-45578;5
LOT03-45595;5
LOT03-214226;4
LOT03-45429;4
LOT03-455351;5
LOT03-455333;5
LOT03-456425;6
LOT02-45410;4
LOT03-066153;6
LOT03-066153;6
LOT03-06638;6
LOT03-06638;6
LOT03-06684;6
LOT03-06684;6
LOT03-06684;6
LOT03-06638;6
LOT03-06684;6
LOT02-10448;4
LOT02-45490;4
LOT02-451131;1
LOT01-34491;0
LOT01-34492;0
LOT02-455135;5
LOT02-45591;5
LOT03-45465;4
LOT03-21456;4
LOT03-45465;4
LOT03-21469;4
LOT03-21453;4
LOT03-21453;4
LOT03-21453;4
LOT03-45465;4
LOT03-06558;5
LOT03-06558;5
LOT03-06558;5
LOT03-064150;4
LOT03-064150;4
LOT03-06696;6
LOT03-06691;6
LOT03-06432;4
