LOT-SampleCode;TreeZone
LOT03-214216;4
LOT03-45576;5
LOT02-452141;2
LOT02-452141;2
LOT02-45658;6
LOT01-34291;0
LOT01-34292;0
LOT01-34151;0
LOT01-34621;0
LOT01-34572;0
LOT01-34571;0
LOT03-45446;4
LOT03-45439;4
LOT03-214141;4
LOT03-45446;4
LOT03-45439;4
LOT03-214232;4
LOT03-214232;4
LOT03-45573;5
LOT03-215236;5
LOT03-215243;5
LOT03-455110;5
LOT03-455110;5
LOT03-454301;4
LOT03-45553;5
LOT03-455386;5
LOT03-455378;5
LOT03-215236;5
LOT03-45553;5
LOT03-455110;5
LOT03-45553;5
LOT03-215243;5
LOT03-455349;5
LOT03-45572;5
LOT03-455442;5
LOT03-456438;6
LOT02-18583;5
LOT02-18438;4
LOT02-18545;5
LOT02-18591;5
LOT02-18462;4
LOT02-18670;6
LOT02-18519;5
LOT03-456375;6
LOT02-18501;5
LOT02-18581;5
LOT02-18599;5
LOT03-456362;6
LOT02-18563;5
LOT02-18682;6
LOT02-18495;4
LOT02-45588;5
LOT02-45587;5
LOT02-21516;5
LOT03-456420;6
LOT02-10502;5
LOT02-18592;5
LOT02-18652;6
LOT02-18659;6
LOT02-455100;5
LOT02-452143;2
LOT03-45447;4
LOT03-455327;5
LOT03-45492;4
LOT03-45492;4
LOT03-45561;5
LOT03-455305;5
LOT03-215242;5
LOT03-454311;4
LOT03-455358;5
LOT03-214217;4
LOT03-45569;5
LOT03-455385;5
LOT03-455411;5
LOT03-45444;4
LOT03-45405;4
LOT03-45421;4
LOT03-45419;4
LOT03-45412;4
LOT03-45431;4
LOT03-45451;4
LOT03-45421;4
LOT03-45405;4
LOT03-214249;4
LOT03-45492;4
LOT03-45492;4
LOT03-456316;6
LOT03-456446;6
LOT03-455339;5
LOT03-456368;6
LOT03-455346;5
LOT03-455334;5
LOT03-455318;5
LOT03-456426;6
LOT02-18475;4
LOT02-18474;4
LOT02-18522;5
LOT02-18590;5
LOT02-18654;6
LOT02-16505;5
LOT02-21181;1
LOT02-18511;5
LOT02-455108;5
LOT02-45415;4
LOT02-36605;6
LOT02-45415;4
LOT02-454126;4
LOT02-455108;5
LOT02-455108;5
LOT02-454126;4
LOT02-21502;5
LOT02-45625;6
LOT02-45415;4
LOT02-455108;5
LOT03-215237;5
LOT03-216250;6
LOT03-456144;6
LOT03-456144;6
LOT03-456145;6
LOT03-456145;6
LOT02-18474;4
LOT02-10511;5
LOT02-18654;6
LOT02-18469;4
LOT02-212111;2
LOT02-18522;5
LOT02-213120;3
LOT02-18577;5
LOT02-18693;6
LOT02-21178;1
LOT02-18580;5
LOT02-21503;5
LOT02-45520;5
LOT02-45520;5
LOT02-21516;5
LOT02-21369;3
LOT02-18648;6
LOT02-18587;5
LOT02-18516;5
LOT02-18512;5
LOT02-10538;5
LOT02-18438;4
LOT02-18521;5
LOT02-18502;5
LOT02-10546;5
LOT02-18471;4
LOT02-18632;6
LOT02-18641;6
LOT02-18478;4
LOT02-18476;4
LOT02-18626;6
LOT02-18560;5
LOT02-18689;6
LOT02-18584;5
LOT02-18409;4
LOT02-18407;4
LOT02-18685;6
LOT02-18563;5
LOT02-18593;5
LOT02-18670;6
LOT02-18547;5
LOT02-18546;5
LOT02-18409;4
LOT02-18527;5
LOT02-10511;5
LOT02-45522;5
LOT02-21654;6
LOT02-21558;5
LOT02-21503;5
LOT02-45526;5
LOT02-45416;4
LOT02-45517;5
LOT02-45526;5
LOT02-45523;5
LOT02-21510;5
LOT01-34951;0
LOT02-18648;6
LOT02-21188;1
LOT02-18694;6
LOT02-18692;6
LOT02-213100;3
LOT02-18591;5
LOT02-18598;5
LOT02-18639;6
LOT02-18408;4
LOT02-18405;4
LOT02-18518;5
LOT02-18565;5
LOT02-18513;5
LOT02-18593;5
LOT02-18512;5
LOT02-18625;6
LOT02-18596;5
LOT02-18626;6
LOT02-21559;5
LOT02-45518;5
LOT02-45519;5
LOT02-21177;1
LOT02-21514;5
LOT02-45427;4
LOT02-45427;4
LOT02-452140;2
LOT02-18641;6
LOT02-18583;5
LOT02-18467;4
LOT02-18632;6
LOT02-18588;5
LOT02-18408;4
LOT02-18510;5
LOT02-18591;5
LOT02-18563;5
LOT02-18403;4
LOT02-18593;5
LOT02-18694;6
LOT02-21176;1
LOT02-21655;6
LOT02-45413;4
LOT02-45414;4
LOT02-455151;5
LOT02-455114;5
LOT02-451184;1
LOT02-452185;2
LOT02-452185;2
LOT02-451184;1
LOT02-212109;2
LOT02-455152;5
LOT02-18590;5
LOT02-18694;6
LOT02-45431;4
LOT03-456103;6
LOT03-21632;6
LOT03-456134;6
LOT03-456102;6
LOT03-21690;6
LOT03-455320;5
LOT03-456102;6
LOT03-456103;6
LOT03-456134;6
LOT03-21683;6
LOT03-216239;6
LOT03-456134;6
LOT03-21632;6
LOT03-215222;5
LOT03-21562;5
LOT03-456437;6
LOT03-456391;6
LOT03-456429;6
LOT03-456399;6
LOT03-21631;6
LOT03-21631;6
LOT02-456156;6
LOT02-456156;6
LOT02-18478;4
LOT02-18593;5
LOT02-21396;3
LOT02-45521;5
LOT02-45521;5
LOT02-21516;5
LOT01-34141;0
LOT01-34142;0
LOT03-454105;4
LOT03-454105;4
LOT03-45409;4
LOT03-45425;4
LOT03-45491;4
LOT03-45409;4
LOT03-214224;4
LOT03-21493;4
LOT03-214224;4
LOT03-45491;4
LOT01-34861;0
LOT03-45411;4
LOT03-45442;4
LOT01-34272;0
LOT01-34271;0
LOT03-456129;6
LOT03-456129;6
LOT03-456129;6
LOT03-456447;6
LOT03-456436;6
LOT03-456423;6
LOT02-456133;6
LOT02-455120;5
LOT02-45580;5
LOT03-455124;5
LOT03-455124;5
LOT03-45404;4
LOT03-455124;5
LOT03-456148;6
LOT02-455169;5
LOT02-45592;5
LOT02-455168;5
LOT02-18577;5
LOT02-18633;6
LOT02-45671;6
LOT02-45570;5
LOT03-45596;5
LOT03-45426;4
LOT03-455360;5
LOT03-45426;4
LOT03-45597;5
LOT03-45597;5
LOT03-45597;5
LOT03-45441;4
LOT02-45594;5
LOT02-213121;3
LOT02-18548;5
LOT02-18689;6
LOT02-45575;5
LOT02-45575;5
LOT02-10535;5
LOT02-45693;6
LOT02-455134;5
LOT02-21444;4
LOT01-34681;0
LOT02-18592;5
LOT02-45582;5
LOT02-455155;5
LOT02-18692;6
LOT02-21564;5
LOT03-455130;5
LOT01-34301;0
LOT01-34302;0
LOT03-211245;1
LOT03-06639;6
LOT03-064109;4
LOT03-06408;4
LOT03-06434;4
LOT03-06464;4
LOT03-06464;4
LOT03-06460;4
LOT03-06460;4
LOT03-06460;4
LOT03-06460;4
LOT03-06414;4
LOT03-06435;4
LOT03-06464;4
LOT03-06423;4
LOT03-064143;4
LOT03-064143;4
LOT03-064143;4
LOT03-064143;4
LOT03-064143;4
LOT03-06407;4
LOT03-06460;4
LOT03-06489;4
LOT03-065135;5
LOT03-065135;5
LOT03-065135;5
LOT03-065135;5
LOT03-065135;5
LOT03-06494;4
LOT03-06492;4
LOT03-06464;4
LOT03-06489;4
LOT03-06464;4
LOT03-06489;4
LOT03-06489;4
LOT03-06480;4
LOT03-06465;4
LOT03-06465;4
LOT03-06465;4
LOT03-06414;4
LOT03-06489;4
LOT03-064127;4
LOT03-06173;1
LOT03-06177;1
LOT03-06407;4
LOT03-06409;4
LOT03-064115;4
LOT03-064115;4
LOT03-064115;4
LOT03-064115;4
LOT03-064122;4
LOT03-064122;4
LOT03-06544;5
LOT03-064127;4
LOT03-064127;4
LOT03-064127;4
LOT03-064133;4
LOT03-06414;4
LOT03-064133;4
LOT03-064133;4
LOT03-064133;4
LOT03-064127;4
LOT03-06413;4
LOT03-064129;4
LOT03-064129;4
LOT03-064129;4
LOT03-064129;4
LOT03-064129;4
LOT03-064129;4
LOT03-064127;4
LOT03-064133;4
LOT03-456142;6
LOT03-456142;6
LOT03-21577;5
LOT03-21577;5
LOT02-455164;5
LOT02-456163;6
LOT02-21509;5
LOT02-45451;4
LOT03-456136;6
LOT03-216248;6
LOT03-21648;6
LOT03-21648;6
LOT03-21648;6
LOT03-456419;6
LOT02-455123;5
LOT02-455123;5
LOT02-455123;5
LOT02-455123;5
LOT03-215220;5
LOT03-455117;5
LOT03-455117;5
LOT03-455117;5
LOT01-34481;0
LOT01-34482;0
LOT01-34582;0
LOT01-34581;0
LOT01-34831;0
LOT01-34812;0
LOT01-34811;0
LOT01-34371;0
LOT01-3436;0
LOT01-34361;0
