"Resultat","Assemblage","Order.q","Method","Size","Diversity","CI_lower","CI_upper","Shadow_Size"
"res_epi","old_leaf","Richness (q=0)","Rarefaction",10,9.63180263491776,9.63032756336496,9.63327770647057,0.00295014310560404
"res_epi","old_leaf","Richness (q=0)","Rarefaction",133546.820512821,1661.92389530133,1657.22439426669,1666.62339633597,9.39900206928814
"res_epi","old_leaf","Richness (q=0)","Rarefaction",267083.641025641,1778.83476293968,1774.04624616572,1783.62327971363,9.57703354791602
"res_epi","old_leaf","Richness (q=0)","Rarefaction",400620.461538462,1830.15904423801,1825.70692667886,1834.61116179717,8.90423511831841
"res_epi","old_leaf","Richness (q=0)","Rarefaction",534157.282051282,1858.41479195307,1854.30059850601,1862.52898540012,8.22838689410355
"res_epi","old_leaf","Richness (q=0)","Rarefaction",667694.102564103,1875.56726479,1871.67908637371,1879.4554432063,7.77635683259314
"res_epi","old_leaf","Richness (q=0)","Rarefaction",801230.923076923,1886.45695884315,1882.66403698084,1890.24988070546,7.58584372461883
"res_epi","old_leaf","Richness (q=0)","Rarefaction",934767.743589744,1893.46767757501,1889.65646520336,1897.27888994665,7.62242474328605
"res_epi","old_leaf","Richness (q=0)","Rarefaction",1068304.56410256,1897.93377338365,1894.01933412384,1901.84821264345,7.82887851960822
"res_epi","old_leaf","Richness (q=0)","Rarefaction",1201841.38461538,1900.67314803037,1896.59646513346,1904.74983092727,8.1533657938121
"res_epi","old_leaf","Richness (q=0)","Rarefaction",1335378.20512821,1902.21909118121,1897.93679151836,1906.50139084405,8.56459932568987
"res_epi","old_leaf","Richness (q=0)","Rarefaction",1468915.02564103,1902.93165076565,1898.40361788817,1907.45968364313,9.05606575495676
"res_epi","old_leaf","Richness (q=0)","Observed",1496933,1903,1898.41474762777,1907.58525237223,9.17050474445432
"res_epi","old_leaf","Richness (q=0)","Extrapolation",1602451.84615385,1903.10557151436,1898.2843929701,1907.92675005861,9.64235708851311
"res_epi","old_leaf","Richness (q=0)","Extrapolation",1735988.66666667,1903.12880731077,1897.96460725006,1908.29300737149,10.3284001214315
"res_epi","old_leaf","Richness (q=0)","Extrapolation",1869525.48717949,1903.13188346367,1897.59004119851,1908.67372572883,11.0836845303188
"res_epi","old_leaf","Richness (q=0)","Extrapolation",2003062.30769231,1903.13229071103,1897.19987250185,1909.06470892021,11.8648364183687
"res_epi","old_leaf","Richness (q=0)","Extrapolation",2136599.12820513,1903.13234462591,1896.81544341665,1909.44924583517,12.6338024185156
