	Ascomycota	Basidiomycota	Chytridiomycota	Mucoromycota	Zoopagomycota	NA
A01426:1224:HWCKFDRX5:1:2101:13630:21934_CONS_SUB_SUB	232	29	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13666:32268_CONS_SUB_SUB	58	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13675:7451_CONS_SUB_SUB	242	20	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1371:11287_CONS_SUB_SUB	70	44	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13720:5650_CONS_SUB_SUB	6115	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13747:11710_CONS_SUB_SUB_CMP	425	326	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13747:27023_CONS_SUB_SUB_CMP	399	28	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:13964:35790_CONS_SUB_SUB	53	32	0	0	0	1
A01426:1224:HWCKFDRX5:1:2101:14000:2660_CONS_SUB_SUB_CMP	14668	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14018:21167_CONS_SUB_SUB	253	43	0	0	0	3
A01426:1224:HWCKFDRX5:1:2101:14045:33238_CONS_SUB_SUB_CMP	583	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14281:19617_CONS_SUB_SUB	114	24	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14326:9549_CONS_SUB_SUB	280	48	0	14	0	0
A01426:1224:HWCKFDRX5:1:2101:14362:22263_CONS_SUB_SUB_CMP	109	26	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14407:31485_CONS_SUB_SUB	1802	21	0	159	0	6
A01426:1224:HWCKFDRX5:1:2101:14425:20275_CONS_SUB_SUB	397	30	0	0	0	4
A01426:1224:HWCKFDRX5:1:2101:14425:2926_CONS_SUB_SUB	1053	64	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14479:25567_CONS_SUB_SUB_CMP	918	23	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14479:2644_CONS_SUB_SUB_CMP	78	71	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14579:13275_CONS_SUB_SUB	3622	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14642:1266_CONS_SUB_SUB_CMP	105	89	0	0	0	5
A01426:1224:HWCKFDRX5:1:2101:14669:2848_CONS_SUB_SUB_CMP	34	3	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14714:26725_CONS_SUB_SUB	339	122	0	2	0	0
A01426:1224:HWCKFDRX5:1:2101:14778:2910_CONS_SUB_SUB_CMP	238	2	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14778:6449_CONS_SUB_SUB_CMP	1219	14	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:14904:4382_CONS_SUB_SUB_CMP	44	12	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:15103:1313_CONS_SUB_SUB	5866	31	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:15194:28933_CONS_SUB_SUB_CMP	369	5	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:15302:10708_CONS_SUB_SUB_CMP	287	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:15320:32910_CONS_SUB_SUB_CMP	287	12	0	0	0	4
A01426:1224:HWCKFDRX5:1:2101:1533:14450_CONS_SUB_SUB_CMP	198	83	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:15519:13119_CONS_SUB_SUB_CMP	313	42	0	0	0	13
A01426:1224:HWCKFDRX5:1:2101:15573:4664_CONS_SUB_SUB	170	33	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:15628:7889_CONS_SUB_SUB	49	81	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:15673:5055_CONS_SUB_SUB	163	53	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:15691:6277_CONS_SUB_SUB	44	29	0	0	0	1
A01426:1224:HWCKFDRX5:1:2101:15799:2112_CONS_SUB_SUB	317	33	0	1	0	0
A01426:1224:HWCKFDRX5:1:2101:15826:19633_CONS_SUB_SUB	270	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:15899:3756_CONS_SUB_SUB	194	31	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1606:10003_CONS_SUB_SUB	107	18	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:16170:3004_CONS_SUB_SUB_CMP	141	94	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:16224:20040_CONS_SUB_SUB	1837	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:16288:5149_CONS_SUB_SUB	1152	31	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:16405:6605_CONS_SUB_SUB	352	60	0	0	0	1
A01426:1224:HWCKFDRX5:1:2101:1642:1892_CONS_SUB_SUB	219	36	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:16450:5901_CONS_SUB_SUB_CMP	67	83	0	9	0	0
A01426:1224:HWCKFDRX5:1:2101:16486:2487_CONS_SUB_SUB_CMP	1103	10	0	0	0	5
A01426:1224:HWCKFDRX5:1:2101:16595:19554_CONS_SUB_SUB	124	39	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1660:10692_CONS_SUB_SUB_CMP	825	36	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:16740:25410_CONS_SUB_SUB_CMP	413	146	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:16794:1830_CONS_SUB_SUB	186	221	0	78	0	78
A01426:1224:HWCKFDRX5:1:2101:16884:7341_CONS_SUB_SUB_CMP	69	10	0	3	0	0
A01426:1224:HWCKFDRX5:1:2101:16984:28401_CONS_SUB_SUB_CMP	1446	79	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17002:15092_CONS_SUB_SUB	3947	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17083:27946_CONS_SUB_SUB_CMP	30	25	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17137:35243_CONS_SUB_SUB_CMP	124	81	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17164:3349_CONS_SUB_SUB	103	13	0	0	0	16
A01426:1224:HWCKFDRX5:1:2101:1723:4413_CONS_SUB_SUB	34	1817	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1732:13166_CONS_SUB_SUB	224	100	0	0	0	4
A01426:1224:HWCKFDRX5:1:2101:17381:36448_CONS_SUB_SUB	920	3	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17571:9784_CONS_SUB_SUB_CMP	92	21	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17680:6840_CONS_SUB_SUB	256	2	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17716:13510_CONS_SUB_SUB_CMP	342	8817	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17734:10160_CONS_SUB_SUB	241	58	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17743:33035_CONS_SUB_SUB_CMP	84	30	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17861:22310_CONS_SUB_SUB	368	33	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17951:16391_CONS_SUB_SUB_CMP	116	3	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17960:34225_CONS_SUB_SUB	102	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:17969:15702_CONS_SUB_SUB	379	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18023:2268_CONS_SUB_SUB	1435	7	0	0	0	1
A01426:1224:HWCKFDRX5:1:2101:18023:27978_CONS_SUB_SUB_CMP	244	2	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18050:2722_CONS_SUB_SUB	793	1	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18069:36385_CONS_SUB_SUB	199	2	0	0	0	1
A01426:1224:HWCKFDRX5:1:2101:18195:9048_CONS_SUB_SUB_CMP	276	45	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18249:2754_CONS_SUB_SUB	83	45	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18349:18959_CONS_SUB_SUB_CMP	401	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18466:5760_CONS_SUB_SUB_CMP	112	926	0	82	0	0
A01426:1224:HWCKFDRX5:1:2101:18502:1720_CONS_SUB_SUB	77	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18548:22498_CONS_SUB_SUB	172	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18548:4961_CONS_SUB_SUB_CMP	46	37	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18593:11490_CONS_SUB_SUB_CMP	374	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18728:21214_CONS_SUB_SUB	441	122	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18810:2002_CONS_SUB_SUB_CMP	574	2	0	0	0	3
A01426:1224:HWCKFDRX5:1:2101:18810:32690_CONS_SUB_SUB_CMP	281	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:18982:11600_CONS_SUB_SUB_CMP	275	75	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:19063:33223_CONS_SUB_SUB_CMP	67	25	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:19126:22936_CONS_SUB_SUB	166	9	0	0	0	2
A01426:1224:HWCKFDRX5:1:2101:19171:2973_CONS_SUB_SUB_CMP	155	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:19262:34569_CONS_SUB_SUB	112	3	0	0	0	39
A01426:1224:HWCKFDRX5:1:2101:19271:12727_CONS_SUB_SUB	88	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:19407:30248_CONS_SUB_SUB	270	12	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:19407:4758_CONS_SUB_SUB_CMP	164	77	0	0	0	2
A01426:1224:HWCKFDRX5:1:2101:1949:25567_CONS_SUB_SUB_CMP	194	891	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:1949:8625_CONS_SUB_SUB	266	57	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:19614:28917_CONS_SUB_SUB_CMP	79	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:19633:25003_CONS_SUB_SUB_CMP	194	21	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:19849:13197_CONS_SUB_SUB_CMP	58	11	0	1	0	3
A01426:1224:HWCKFDRX5:1:2101:19985:11741_CONS_SUB_SUB	645	21	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20121:18176_CONS_SUB_SUB	28	21	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20184:18098_CONS_SUB_SUB_CMP	43	71	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20193:7467_CONS_SUB_SUB	158	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20283:3646_CONS_SUB_SUB_CMP	181	3	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20292:2534_CONS_SUB_SUB_CMP	123	6	0	0	0	5
A01426:1224:HWCKFDRX5:1:2101:2031:33317_CONS_SUB_SUB_CMP	36	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20338:26318_CONS_SUB_SUB_CMP	104	37	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20365:2065_CONS_SUB_SUB_CMP	313	163	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20473:3411_CONS_SUB_SUB_CMP	862	16	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20482:6965_CONS_SUB_SUB	70	14	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20582:11334_CONS_SUB_SUB	121	200	0	4	0	0
A01426:1224:HWCKFDRX5:1:2101:20591:29669_CONS_SUB_SUB	105	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20600:10614_CONS_SUB_SUB_CMP	59	0	0	0	0	13
A01426:1224:HWCKFDRX5:1:2101:20636:1783_CONS_SUB_SUB_CMP	264	37	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20645:1329_CONS_SUB_SUB_CMP	3863	35	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20735:11256_CONS_SUB_SUB_CMP	161	138	0	0	0	2
A01426:1224:HWCKFDRX5:1:2101:20844:8030_CONS_SUB_SUB	168	6	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:20889:28745_CONS_SUB_SUB	86	96	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:21025:5212_CONS_SUB_SUB	51	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:21043:24502_CONS_SUB_SUB	119	33	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:21368:36370_CONS_SUB_SUB_CMP	897	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:21423:20619_CONS_SUB_SUB	223	1	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:21441:36182_CONS_SUB_SUB_CMP	197	12	0	0	0	19
A01426:1224:HWCKFDRX5:1:2101:21468:33066_CONS_SUB_SUB_CMP	287	9	0	0	0	3
A01426:1224:HWCKFDRX5:1:2101:21531:27414_CONS_SUB_SUB	175	265	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:21531:3552_CONS_SUB_SUB_CMP	370	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:21603:28416_CONS_SUB_SUB_CMP	683	40	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:21640:4398_CONS_SUB_SUB_CMP	4971	9	0	0	0	4
A01426:1224:HWCKFDRX5:1:2101:21947:23312_CONS_SUB_SUB_CMP	20	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2101:21983:9189_CONS_SUB_SUB_CMP	137	9	0	0	0	0
