	Ascomycota	Basidiomycota	Chytridiomycota	Mucoromycota	Zoopagomycota	NA
A01426:1224:HWCKFDRX5:1:2213:24822:21809_CONS_SUB_SUB	466	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:25617:6026_CONS_SUB_SUB	80	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:25925:34397_CONS_SUB_SUB	352	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:26313:36479_CONS_SUB_SUB_CMP	4234	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:26946:22858_CONS_SUB_SUB_CMP	22009	6	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:27046:20870_CONS_SUB_SUB	290	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:28203:36025_CONS_SUB_SUB_CMP	54	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:29188:33880_CONS_SUB_SUB_CMP	632	12	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:29767:10300_CONS_SUB_SUB_CMP	53	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:29830:22748_CONS_SUB_SUB_CMP	47	2	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:29957:29637_CONS_SUB_SUB	16	45	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:30174:14450_CONS_SUB_SUB_CMP	156	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:30210:13322_CONS_SUB_SUB	249	38	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:30870:5165_CONS_SUB_SUB	232	32	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:32190:34381_CONS_SUB_SUB_CMP	53	24	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:32560:17644_CONS_SUB_SUB	296	25	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:32732:5541_CONS_SUB_SUB_CMP	48	91	0	6	0	0
A01426:1224:HWCKFDRX5:1:2213:32786:19413_CONS_SUB_SUB	701	18	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:3522:3615_CONS_SUB_SUB	69	48	0	5	0	5
A01426:1224:HWCKFDRX5:1:2213:3712:12962_CONS_SUB_SUB	1638	5	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:3938:28698_CONS_SUB_SUB	80	97	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:4336:14888_CONS_SUB_SUB_CMP	79	18	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:4372:23437_CONS_SUB_SUB_CMP	99	60	0	0	0	3
A01426:1224:HWCKFDRX5:1:2213:4472:15468_CONS_SUB_SUB	1963	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:4508:5916_CONS_SUB_SUB	263	122	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:5339:7858_CONS_SUB_SUB_CMP	43	40	0	2	0	0
A01426:1224:HWCKFDRX5:1:2213:5620:16266_CONS_SUB_SUB	160	48	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:5864:16250_CONS_SUB_SUB	1939	64	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:6054:1297_CONS_SUB_SUB	81	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:7699:6652_CONS_SUB_SUB_CMP	45	28	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:8513:7153_CONS_SUB_SUB	473	16	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:9317:5729_CONS_SUB_SUB_CMP	14045	30	0	0	0	0
A01426:1224:HWCKFDRX5:1:2213:9652:23750_CONS_SUB_SUB	217	118	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:10511:31407_CONS_SUB_SUB	194	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:10673:12587_CONS_SUB_SUB_CMP	309	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:11008:8719_CONS_SUB_SUB_CMP	78	1	0	0	0	1
A01426:1224:HWCKFDRX5:1:2214:13160:9690_CONS_SUB_SUB_CMP	414	13	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:13367:3349_CONS_SUB_SUB	780	42	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:14733:2300_CONS_SUB_SUB_CMP	214	73	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:15908:9157_CONS_SUB_SUB_CMP	536	37	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:16179:8437_CONS_SUB_SUB	174	26	0	0	0	2
A01426:1224:HWCKFDRX5:1:2214:17011:32518_CONS_SUB_SUB_CMP	2999	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:17607:8124_CONS_SUB_SUB_CMP	88	13	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:17680:30639_CONS_SUB_SUB	605	66	0	0	0	1
A01426:1224:HWCKFDRX5:1:2214:18475:11663_CONS_SUB_SUB_CMP	19275	0	0	1	0	0
A01426:1224:HWCKFDRX5:1:2214:19868:22185_CONS_SUB_SUB	113	53	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:20726:19382_CONS_SUB_SUB_CMP	391	1	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:20989:36526_CONS_SUB_SUB_CMP	20	181	0	6	0	0
A01426:1224:HWCKFDRX5:1:2214:21251:6292_CONS_SUB_SUB_CMP	796	228	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:21269:26678_CONS_SUB_SUB_CMP	52	27	0	97	0	0
A01426:1224:HWCKFDRX5:1:2214:22399:26882_CONS_SUB_SUB_CMP	34	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:23384:29246_CONS_SUB_SUB_CMP	471	114	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:23511:4820_CONS_SUB_SUB	210	106	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:23656:12837_CONS_SUB_SUB	258	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:24189:16391_CONS_SUB_SUB	69	94	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:24768:25034_CONS_SUB_SUB_CMP	84	13	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:24966:26443_CONS_SUB_SUB	1001	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:25057:35744_CONS_SUB_SUB_CMP	48	56	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:25174:33160_CONS_SUB_SUB_CMP	407	69	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:25192:3818_CONS_SUB_SUB	133	27	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:25328:26099_CONS_SUB_SUB	23	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:25346:8061_CONS_SUB_SUB_CMP	564	1118	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:25464:19225_CONS_SUB_SUB_CMP	312	18	0	0	0	2
A01426:1224:HWCKFDRX5:1:2214:25762:32299_CONS_SUB_SUB_CMP	319	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:26720:29669_CONS_SUB_SUB_CMP	160	166	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:26720:32643_CONS_SUB_SUB	172	0	0	1	0	0
A01426:1224:HWCKFDRX5:1:2214:27724:13213_CONS_SUB_SUB_CMP	28	7	0	0	0	10
A01426:1224:HWCKFDRX5:1:2214:28330:3709_CONS_SUB_SUB_CMP	295	16	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:28429:24361_CONS_SUB_SUB	48	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:28709:31109_CONS_SUB_SUB_CMP	171	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:29017:12727_CONS_SUB_SUB_CMP	114	39	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:2926:23844_CONS_SUB_SUB	5127	18	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:29315:14935_CONS_SUB_SUB_CMP	185	2	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:29487:20870_CONS_SUB_SUB_CMP	322	722	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:29948:17472_CONS_SUB_SUB	59	26	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:30110:24737_CONS_SUB_SUB_CMP	80	63	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:30445:20149_CONS_SUB_SUB_CMP	1064	11	0	0	0	2
A01426:1224:HWCKFDRX5:1:2214:30463:24690_CONS_SUB_SUB	57	0	0	40	0	0
A01426:1224:HWCKFDRX5:1:2214:30689:23610_CONS_SUB_SUB	39	914	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:31539:35509_CONS_SUB_SUB	177	37	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:31810:22701_CONS_SUB_SUB	87	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:3314:23140_CONS_SUB_SUB	1039	7	0	10	0	0
A01426:1224:HWCKFDRX5:1:2214:3450:5650_CONS_SUB_SUB_CMP	142	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:4915:8688_CONS_SUB_SUB	87	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2214:9245:6762_CONS_SUB_SUB	661	14	0	10	0	0
A01426:1224:HWCKFDRX5:1:2214:9968:22639_CONS_SUB_SUB	117	9	0	34	0	0
A01426:1224:HWCKFDRX5:1:2215:11297:34835_CONS_SUB_SUB	308	9383	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:11849:7701_CONS_SUB_SUB	177	19	0	0	0	13
A01426:1224:HWCKFDRX5:1:2215:13422:2942_CONS_SUB_SUB	96	23	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:15266:3035_CONS_SUB_SUB_CMP	65	13	0	0	0	2
A01426:1224:HWCKFDRX5:1:2215:15537:29183_CONS_SUB_SUB_CMP	999	229	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:16025:36135_CONS_SUB_SUB	80	369	0	63	0	0
A01426:1224:HWCKFDRX5:1:2215:16486:15828_CONS_SUB_SUB	97	40	0	8	0	0
A01426:1224:HWCKFDRX5:1:2215:16586:29121_CONS_SUB_SUB	1512	65	0	7	0	0
A01426:1224:HWCKFDRX5:1:2215:18484:5196_CONS_SUB_SUB	320	32	0	2	0	0
A01426:1224:HWCKFDRX5:1:2215:19208:17660_CONS_SUB_SUB	390	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:19253:34867_CONS_SUB_SUB	368	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:1931:5807_CONS_SUB_SUB	45	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:19452:1611_CONS_SUB_SUB	112	17	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:19723:7341_CONS_SUB_SUB	280	20	0	0	0	1
A01426:1224:HWCKFDRX5:1:2215:20898:32800_CONS_SUB_SUB	114	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:21938:18599_CONS_SUB_SUB	1154	39	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:22191:26616_CONS_SUB_SUB_CMP	609	28	0	0	0	4
A01426:1224:HWCKFDRX5:1:2215:2248:3411_CONS_SUB_SUB_CMP	501	1269	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:22833:11350_CONS_SUB_SUB	46	6	0	2	0	0
A01426:1224:HWCKFDRX5:1:2215:22968:23484_CONS_SUB_SUB_CMP	135	41	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:23240:24893_CONS_SUB_SUB	53	14	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:23312:9518_CONS_SUB_SUB_CMP	138	39	0	0	0	3
A01426:1224:HWCKFDRX5:1:2215:2338:24486_CONS_SUB_SUB	72	20	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:23909:8077_CONS_SUB_SUB_CMP	72	465	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:23963:5134_CONS_SUB_SUB	812	17	0	156	0	0
A01426:1224:HWCKFDRX5:1:2215:24144:4601_CONS_SUB_SUB_CMP	125	111	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:24912:20995_CONS_SUB_SUB_CMP	33	6	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:25147:4993_CONS_SUB_SUB	319	47	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:25572:21605_CONS_SUB_SUB	17	143	0	0	0	7
A01426:1224:HWCKFDRX5:1:2215:25735:23359_CONS_SUB_SUB_CMP	117	13	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:25880:11177_CONS_SUB_SUB_CMP	191	0	0	0	0	3
A01426:1224:HWCKFDRX5:1:2215:27037:19413_CONS_SUB_SUB	5609	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:29062:31344_CONS_SUB_SUB	1627	28	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:29297:2253_CONS_SUB_SUB_CMP	1225	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:29414:9627_CONS_SUB_SUB	310	20	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:30065:33552_CONS_SUB_SUB_CMP	78	8	0	0	0	26
A01426:1224:HWCKFDRX5:1:2215:31638:18239_CONS_SUB_SUB_CMP	184	20	0	0	0	1
A01426:1224:HWCKFDRX5:1:2215:32560:25003_CONS_SUB_SUB	89	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:3468:13166_CONS_SUB_SUB	2445	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:3812:21465_CONS_SUB_SUB	84	18	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:4065:23406_CONS_SUB_SUB	87	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:4661:21652_CONS_SUB_SUB	95	2	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:5086:9392_CONS_SUB_SUB	15	1	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:5312:33364_CONS_SUB_SUB	796	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:6126:2926_CONS_SUB_SUB_CMP	336	24	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:6289:34554_CONS_SUB_SUB_CMP	306	56	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:6298:32221_CONS_SUB_SUB	3246	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:6479:23046_CONS_SUB_SUB_CMP	1375	55	0	0	0	3
A01426:1224:HWCKFDRX5:1:2215:6488:18552_CONS_SUB_SUB_CMP	198	5	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:7771:16924_CONS_SUB_SUB	155	30	0	0	0	0
A01426:1224:HWCKFDRX5:1:2215:7789:33990_CONS_SUB_SUB_CMP	107	5	0	0	0	1
A01426:1224:HWCKFDRX5:1:2215:8269:5948_CONS_SUB_SUB_CMP	426	8	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:10493:12493_CONS_SUB_SUB	1562	20	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:11568:26005_CONS_SUB_SUB_CMP	28	6	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:12617:33395_CONS_SUB_SUB	115	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:12707:18208_CONS_SUB_SUB	344	56	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:12843:36448_CONS_SUB_SUB	849	51	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:13440:15123_CONS_SUB_SUB_CMP	341	5	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:13657:25927_CONS_SUB_SUB	45	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:1416:26616_CONS_SUB_SUB	333	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:14778:15718_CONS_SUB_SUB	194	13	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:15148:10974_CONS_SUB_SUB	185	448	0	8	0	2
A01426:1224:HWCKFDRX5:1:2216:15257:31140_CONS_SUB_SUB_CMP	281	2	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:16062:24048_CONS_SUB_SUB_CMP	44	6	0	0	0	29
A01426:1224:HWCKFDRX5:1:2216:16188:36855_CONS_SUB_SUB_CMP	119	46	0	6	0	0
A01426:1224:HWCKFDRX5:1:2216:16351:22608_CONS_SUB_SUB	755	24	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:18801:34209_CONS_SUB_SUB_CMP	262	111	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:19578:35869_CONS_SUB_SUB_CMP	106	3	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:19705:32925_CONS_SUB_SUB	41	32	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:19786:22169_CONS_SUB_SUB_CMP	114	12	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:19931:27806_CONS_SUB_SUB	1435	105	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:19985:33066_CONS_SUB_SUB_CMP	541	36	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:2022:11945_CONS_SUB_SUB	515	22	0	0	0	31
A01426:1224:HWCKFDRX5:1:2216:20256:14465_CONS_SUB_SUB	78	65	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:20844:7811_CONS_SUB_SUB	72	14	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:21287:27868_CONS_SUB_SUB_CMP	1250	14	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:21423:10285_CONS_SUB_SUB_CMP	59	114	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:22200:23312_CONS_SUB_SUB_CMP	68	46	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:22336:15405_CONS_SUB_SUB_CMP	576	4	0	0	0	2
A01426:1224:HWCKFDRX5:1:2216:23384:3317_CONS_SUB_SUB	554	31	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:23972:14951_CONS_SUB_SUB	73	502	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:24849:4351_CONS_SUB_SUB	125	15	0	0	0	5
A01426:1224:HWCKFDRX5:1:2216:24912:17394_CONS_SUB_SUB	130	171	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:25292:7498_CONS_SUB_SUB	544	27	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:26901:4272_CONS_SUB_SUB	134	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:27019:23860_CONS_SUB_SUB_CMP	1000	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:27145:1564_CONS_SUB_SUB_CMP	866	40	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:28655:20024_CONS_SUB_SUB	7319	20	0	0	0	1
A01426:1224:HWCKFDRX5:1:2216:2871:14575_CONS_SUB_SUB	128	5	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:28917:23610_CONS_SUB_SUB	688	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:29604:24768_CONS_SUB_SUB_CMP	59	40	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:29984:1626_CONS_SUB_SUB_CMP	47	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:30454:27586_CONS_SUB_SUB_CMP	55	11	0	2	0	0
A01426:1224:HWCKFDRX5:1:2216:3061:1188_CONS_SUB_SUB_CMP	58	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:31331:5274_CONS_SUB_SUB	83	205	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:31512:12446_CONS_SUB_SUB	58	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:32154:12336_CONS_SUB_SUB	429	24	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:3233:23406_CONS_SUB_SUB	679	36	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:3233:34240_CONS_SUB_SUB	2071	13	0	2	0	0
A01426:1224:HWCKFDRX5:1:2216:3396:12665_CONS_SUB_SUB	51	262	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:3712:3599_CONS_SUB_SUB_CMP	68	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:3848:13103_CONS_SUB_SUB_CMP	157	14	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:3929:18098_CONS_SUB_SUB	213	50	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:4010:23813_CONS_SUB_SUB	168	7	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:5855:17644_CONS_SUB_SUB_CMP	66	20	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:5873:32518_CONS_SUB_SUB_CMP	150	45	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:6325:29919_CONS_SUB_SUB	43	21	0	0	0	2
A01426:1224:HWCKFDRX5:1:2216:6632:33552_CONS_SUB_SUB_CMP	101	12	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:6714:16532_CONS_SUB_SUB	1009	3	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:7916:18239_CONS_SUB_SUB	670	173	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:8314:34992_CONS_SUB_SUB_CMP	470	29	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:8477:30264_CONS_SUB_SUB	112	5	0	0	0	0
A01426:1224:HWCKFDRX5:1:2216:9670:9784_CONS_SUB_SUB	103	22	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:10981:20259_CONS_SUB_SUB_CMP	963	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:11288:26428_CONS_SUB_SUB_CMP	2732	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:11460:5368_CONS_SUB_SUB	2484	79	0	0	0	3
A01426:1224:HWCKFDRX5:1:2217:14407:18020_CONS_SUB_SUB_CMP	581	4	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:14606:24721_CONS_SUB_SUB_CMP	54	55	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:15835:25254_CONS_SUB_SUB_CMP	203	5	0	150	0	0
A01426:1224:HWCKFDRX5:1:2217:15926:27132_CONS_SUB_SUB	492	26	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:15935:17002_CONS_SUB_SUB_CMP	105	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:16812:9596_CONS_SUB_SUB	43	32	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:17083:21590_CONS_SUB_SUB	160	10	0	0	0	3
A01426:1224:HWCKFDRX5:1:2217:18439:23156_CONS_SUB_SUB	316	31	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:18502:17127_CONS_SUB_SUB	20605	31	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:18728:8719_CONS_SUB_SUB	69	38	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:18909:14544_CONS_SUB_SUB_CMP	345	23	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:19153:8422_CONS_SUB_SUB	23	48	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:19623:27649_CONS_SUB_SUB_CMP	390	3	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:21169:2613_CONS_SUB_SUB_CMP	66	23	0	0	0	2
A01426:1224:HWCKFDRX5:1:2217:21911:7185_CONS_SUB_SUB_CMP	727	0	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:22073:27101_CONS_SUB_SUB_CMP	836	6	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:22381:25379_CONS_SUB_SUB	431	147	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:22733:25927_CONS_SUB_SUB	1381	64	0	0	0	3
A01426:1224:HWCKFDRX5:1:2217:2293:28886_CONS_SUB_SUB	518	32	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:23411:8218_CONS_SUB_SUB	87	26	0	0	0	1
A01426:1224:HWCKFDRX5:1:2217:24099:6214_CONS_SUB_SUB	300	66	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:24460:28792_CONS_SUB_SUB_CMP	111	5	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:24722:20415_CONS_SUB_SUB_CMP	37	13	0	0	0	4
A01426:1224:HWCKFDRX5:1:2217:24975:25864_CONS_SUB_SUB	260	104	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:25111:5869_CONS_SUB_SUB	174	87	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:25599:20870_CONS_SUB_SUB_CMP	198	140	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:25870:12320_CONS_SUB_SUB	3270	43	0	7	0	1
A01426:1224:HWCKFDRX5:1:2217:26241:34976_CONS_SUB_SUB	54	5	0	0	0	4
A01426:1224:HWCKFDRX5:1:2217:2645:16971_CONS_SUB_SUB_CMP	143	14	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:26928:4413_CONS_SUB_SUB_CMP	108	3	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:27715:29418_CONS_SUB_SUB_CMP	212	67	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:28357:27430_CONS_SUB_SUB_CMP	96	38	0	2	0	0
A01426:1224:HWCKFDRX5:1:2217:2989:5885_CONS_SUB_SUB	812	9	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:30526:4789_CONS_SUB_SUB	1376	39	0	4	0	0
A01426:1224:HWCKFDRX5:1:2217:31846:5008_CONS_SUB_SUB	118	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:32588:24925_CONS_SUB_SUB_CMP	86	10	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:3622:23422_CONS_SUB_SUB_CMP	1961	27	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:3857:10770_CONS_SUB_SUB	111	19	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:4092:17253_CONS_SUB_SUB_CMP	213	1	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:4363:7795_CONS_SUB_SUB	140	0	0	2	0	0
A01426:1224:HWCKFDRX5:1:2217:4562:24205_CONS_SUB_SUB_CMP	181	15	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:4679:18176_CONS_SUB_SUB_CMP	800	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:6442:25864_CONS_SUB_SUB_CMP	322	13	0	0	0	5
A01426:1224:HWCKFDRX5:1:2217:6551:18380_CONS_SUB_SUB	5647	7	0	4	0	0
A01426:1224:HWCKFDRX5:1:2217:7500:8876_CONS_SUB_SUB	239	16	0	0	0	14
A01426:1224:HWCKFDRX5:1:2217:8296:20619_CONS_SUB_SUB_CMP	50	12	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:8829:23484_CONS_SUB_SUB	36	1	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:9155:32440_CONS_SUB_SUB_CMP	454	11	0	0	0	0
A01426:1224:HWCKFDRX5:1:2217:9679:35352_CONS_SUB_SUB_CMP	333	18	0	0	0	0
A01426:1224:HWCKFDRX5:1:2218:10881:27633_CONS_SUB_SUB	1003	6	0	0	0	4
A01426:1224:HWCKFDRX5:1:2218:10936:7279_CONS_SUB_SUB_CMP	84	5	0	0	0	0
A01426:1224:HWCKFDRX5:1:2218:11008:35931_CONS_SUB_SUB	189	79	0	0	0	0
A01426:1224:HWCKFDRX5:1:2218:11632:9737_CONS_SUB_SUB	185	87	0	0	0	0
A01426:1224:HWCKFDRX5:1:2218:11966:1986_CONS_SUB_SUB_CMP	135	37	0	0	0	1
A01426:1224:HWCKFDRX5:1:2218:12590:23234_CONS_SUB_SUB	804	4	0	0	0	2
A01426:1224:HWCKFDRX5:1:2218:14877:16172_CONS_SUB_SUB_CMP	903	2	0	0	0	7
