"","old_leaf","root","young_leaf"
"341",2678,3592,2385
"342",22726,1071,21091
"343",29,0,203
"344",225,45,94
"345",37,105,130
"346",199,38,153
"347",109,245,18
"348",141,239,11
"349",142,0,7
"350",4,103,0
"351",0,680,5
"352",61,72,125
"353",17802,5340,14312
"354",56,85,4
"355",66,22,95
"356",31710,2530,5692
"357",29,2,70
"358",587,19,692
"359",7,174,40
"360",0,106,6
"361",28,369,5
"362",0,264,0
"363",228,2,49
"364",46,12,93
"365",18,9,79
"366",0,357,0
"367",5,89,1086
"368",214,278,589
"369",240,49,186
"370",4,3,300
"371",46,71,75
"372",7,14,90
"373",479,181451,3031
"374",109,20,26
"375",64,301,35
"376",0,182,2
"377",59,518,5
"378",117,349,104
"379",6,280,0
"380",116,7,16
"381",335,0,7
"382",0,104,0
"383",69,0,34
"384",161,8,243
"385",47,16,73
"386",47,39,34
"387",401,158,14
"388",149,54,217
"389",594,61,20
"390",19,83,35
"391",986,170,10
"392",341,1,37
"393",0,108,0
"394",2776,54,140
"395",7476,1103,904
"396",0,232,0
"397",103,9,85
"398",484,95,293
"399",29,4662,129
"400",1,0,235
"401",37,79,23
"402",417623,7791,330555
"403",43,76,72
"404",13446,0,834
"405",217,1076,243
"406",110,8,14
"407",1257,1824,449
"408",0,0,108
"409",4,494,57
"410",0,944,0
"411",7,96,8
"412",2740,73,216
"413",802,1024,671
"414",49,1112,100
"415",882,279,382
"416",521,25,255
"417",61,75,150
"418",0,1348,16
"419",196,169,264
"420",92,18,566
"421",186,166,198
"422",106,15,368
"423",226,115,124
"424",307,7,11
"425",13,1679,18
"426",88,4,49
"427",0,283,0
"428",164,0,31
"429",29,65,46
"430",345,807,247
"431",474,20,18
"432",103,2144,69
"433",20,469,63
"434",599,0,8
"435",255,0,0
"436",13,98,86
"437",41,1332,27
"438",3,129,42
"439",664,11,26
"440",2700,35,1644
"441",2,528,10
"442",0,213,0
"443",1158,0,14
"444",190,5390,583
"445",7,1433,8
"446",891,15710,1680
"447",11,61,28
"448",225,0,3478
"449",0,447,0
"450",41,79,1279
"451",135,127,187
"452",102,0,0
"453",0,991,0
"454",226,434,359
"455",88,81,25
"456",10,30,64
"457",1,130,0
"458",0,0,1160
"459",854,338,110
"460",260,5,7
"461",9,1397,26
"462",210,121,584
"463",14768,1833,716
"464",7769,11,1036
"465",106,56,42
"466",55,6,45
"467",0,372,2
"468",0,166,0
"469",85,40,202
"470",0,158,2
"471",10,104,3
"472",36,32,41
"473",198,5,81
"474",80,250,23
"475",4,0,164
"476",0,8774,54
"477",152,568,66
"478",93,6,138
"479",52,3,76
"480",2,2670,4
"481",327,8,126
"482",9,16,197
"483",1083,1633,1143
"484",123,19,5
"485",33,304,26
"486",125,52,217
"487",534,33,1211
"488",11,21,430
"489",0,1458,5
"490",380,3,4
"491",241,51,155
"492",25894,334,2528
"493",31,4,284
"494",43,4,209
"495",0,9441,0
"496",197,169,223
"497",30,101,2
"498",74,33,61
"499",372,315,2166
"500",311,42,6
"501",4,1116,40
"502",41,96,99
"503",41,0,89
"504",362,255,768
"505",18,72,34
"506",529,2,4
"507",14,1456,45
"508",400,69,10821
"509",960,18,250
"510",0,8,108
"511",61,183,185
"512",4,101,4
"513",38,1478,124
"514",85,12,32
"515",2067,28,113
"516",2,962,6
"517",51,46,75
"518",0,415,0
"519",1434,87893,5154
"520",1,107,1
"521",560,1743,658
"522",2721,35,139
"523",0,2074,51
"524",0,102,4
"525",54,8,52
"526",710,310,58
"527",938,3981,421
"528",98,1,182
"529",3,274,0
"530",32,79215,1086
"531",0,559,3
"532",16,50,43
"533",0,168,3
"534",345,21,73
"535",28,585,62
"536",152,2825,317
"537",0,200,22
"538",24,8519,17
"539",77,20,3
"540",28,71,24
"541",231,0,156
"542",143,0,30
"543",4,1290,16
"544",0,144,0
"545",14,973,6
"546",504,1879,167
"547",4,624,3
"548",30,49,54
"549",28,4661,43
"550",120,865,434
"551",62,17,126
"552",149,0,16
"553",476,29,67
"554",35,21,95
"555",60,66,48
"556",39,2345,407
"557",5259,18,169
"558",0,656,6
"559",161,10,138
"560",173,0,0
"561",8,102,26
"562",6,4501,40
"563",1672,0,39
"564",45,3,58
"565",798,10,16
"566",864,31,985
"567",23,1032,130
"568",39,117,54
"569",20,735,344
"570",6,905,4
"571",2204,526,597
"572",879,11334,251
"573",6,367,0
"574",9,239,6
"575",369,8539,298
"576",203,0,33
"577",1893,15,326
"578",0,147,31
"579",123,30,188
"580",169,20,40
"581",0,13,144
"582",14,149,50
"583",3,815,6
"584",85,0,143
"585",0,106,0
"586",2,358,23
"587",281,703,549
"588",61,44,111
"589",1736,0,0
"590",1,546,5
"591",194,91,4
"592",1071,162,87
"593",0,116,17
"594",1802,488,4508
"595",38,2707,204
"596",5,6,567
"597",542,1608,947
"598",8,131,24
"599",482,17,88
"600",5,142,0
"601",159,88,1195
"602",14,44,43
"603",0,124,0
"604",7,116,4
"605",239,44,165
"606",49,712,88
"607",4,656,0
"608",29,36,59
"609",352,267,1069
"610",21,12,94
"611",604,1539,1493
"612",55528,101,286
"613",1091,240,41
"614",31,39,31
"615",10,246,34
"616",20,450,25
"617",30273,1216,17897
"618",10,115,7
"619",16,226,28
"620",54,22,471
"621",125,41,110
"622",1961,18522,1977
"623",1845,132,9124
"624",0,333,0
"625",1955,122,1261
"626",110,3,223
"627",229,74,206
"628",182,110534,305
"629",46,821,27
"630",1180,30,49
"631",29,2976,75
"632",6,310,12
"633",56,103,12
"634",3,0,154
"635",14,504,0
"636",17,3199,27
"637",130,7,1870
"638",214,2054,107
"639",224,1359,154
"640",16475,246,579
"641",7413,768,3555
"642",370,11,350
"643",462,44,95
"644",5,211,33
"645",97,282,88
"646",127,811,66
"647",87,19,47
"648",52475,424,37865
"649",5672,0,145
"650",72,0,121
"651",34,1267,60
"652",24,18,111
"653",485,5,149
"654",74,7,69
"655",15,76,50
"656",13941,5418,2069
"657",0,163,8
"658",199,498,225
"659",6,144,0
"660",1155,105,210
"661",30,205,37
"662",192,61,48
"663",627,1947,319
"664",726,239,65
"665",157,0,0
"666",131,388,89
"667",412,27,1535
"668",13,253,4
"669",211,49,31
"670",1,142,2
"671",1005,46,1007
"672",33,0,286
"673",137,31,20
"674",625,0,872
"675",10,34,80
"676",166,11,118
"677",28707,0,40233
"678",347,51,208
"679",3,275,1
"680",29,104,12
"681",59,39308,178
"682",151,14,12
"683",127,10,56
"684",1,134,11
"685",127,516,13
"686",241,6,4
"687",0,106,2
"688",0,527,0
"689",162,78,165
"690",4,207,3
"691",2,121,0
"692",125,17,84
"693",2,658,7
"694",57,162,59
"695",716,18,139
"696",30374,517,9779
"697",2,101,18
"698",43,48,2664
"699",25,784,20
"700",1,2,283
"701",163,114,146
"702",77,218,74
"703",61,745,225
"704",72,55,48
"705",0,119,2
"706",75,171,83
"707",2111,27,696
"708",0,418,0
"709",89,2,160
"710",35,101,323
"711",21,22,121
"712",29,20,79
"713",116,4635,25
"714",746,93,2978
"715",0,467,0
"716",3,200,6
"717",187,71,108
"718",0,3808,32
"719",57,16,35
"720",46,49,40
"721",691,185,359
"722",109,28,133
"723",29,18,247
"724",152,376,307
"725",11,88,15
"726",4,240,14
"727",365,1015,450
"728",7,210,0
"729",44,9,72
"730",15,676,23
"731",64,20,76
"732",9085,1570,1324
"733",59,146,143
"734",3,1639,0
"735",2,370,22
"736",0,159,0
"737",2,258,13
