""	"old_leaf"	"root"	"young_leaf"
"311"	952	47	342
"312"	25	17	37
"313"	312	12	816
"314"	104	33	22
"315"	226	0	133
"316"	0	3	0
"317"	93	252	24
"318"	561	1936	45
"319"	3	9	1
"320"	13	44	26
"321"	41	58	82
"322"	0	74	0
"323"	0	156	0
"324"	0	3886	79
"325"	0	30	357
"326"	164	238	69
"327"	39	11	20
"328"	0	0	0
"329"	0	42	0
"330"	0	59	31
"331"	121	0	0
"332"	856	36	1540
"333"	9	6	111
"334"	29	70	46
"335"	0	180	0
"336"	189	24	321
"337"	5	402	0
"338"	5	48	10
"339"	213	80	195
"340"	0	0	0
"341"	681	2562	838
"342"	0	963	0
"343"	29	0	179
"344"	54	36	44
"345"	0	37	2
"346"	188	12	76
"347"	101	122	4
"348"	131	210	8
"349"	138	0	3
"350"	0	84	0
"351"	0	476	0
"352"	9	59	48
"353"	3858	751	7142
"354"	52	9	4
"355"	42	21	70
"356"	0	639	10
"357"	0	0	2
"358"	0	11	0
"359"	2	17	14
"360"	0	37	6
"361"	0	77	0
"362"	0	47	0
"363"	133	2	38
"364"	46	11	87
"365"	8	1	19
"366"	0	322	0
"367"	5	83	999
"368"	163	206	518
"369"	224	47	71
"370"	0	0	289
"371"	37	66	23
"372"	7	13	55
"373"	0	61285	42
"374"	25	18	5
"375"	41	162	19
"376"	0	15	2
"377"	0	513	0
"378"	19	290	17
"379"	4	277	0
"380"	0	0	11
"381"	0	0	0
"382"	0	14	0
"383"	0	0	0
"384"	135	8	225
"385"	8	10	69
"386"	33	37	27
"387"	0	29	0
"388"	139	47	197
"389"	0	26	5
"390"	15	78	28
"391"	0	14	0
"392"	240	0	33
"393"	0	67	0
"394"	2576	49	113
"395"	5439	1089	761
"396"	0	70	0
"397"	77	8	3
"398"	148	68	36
"399"	20	2269	67
"400"	0	0	0
"401"	0	28	3
"402"	10604	3710	34743
"403"	2	7	3
"404"	0	0	0
"405"	155	55	238
"406"	87	8	8
"407"	143	219	226
"408"	0	0	0
"409"	3	317	45
"410"	0	0	0
"411"	4	67	8
"412"	1770	72	132
"413"	440	571	506
"414"	34	896	91
"415"	846	204	316
"416"	42	13	181
"417"	0	15	6
"418"	0	971	0
"419"	160	122	199
"420"	52	18	536
"421"	148	76	160
"422"	74	13	159
"423"	32	33	33
"424"	0	4	0
"425"	13	1386	18
"426"	65	4	33
"427"	0	244	0
"428"	0	0	2
"429"	28	64	33
"430"	5	192	17
"431"	389	20	16
"432"	10	1274	12
"433"	8	345	38
"434"	515	0	6
"435"	0	0	0
"436"	11	23	84
"437"	29	1108	25
"438"	3	126	37
"439"	14	7	2
"440"	2620	35	1591
"441"	2	218	9
"442"	0	213	0
"443"	85	0	14
"444"	58	1752	391
"445"	4	447	8
"446"	256	4526	1384
"447"	0	51	0
"448"	225	0	3478
"449"	0	362	0
"450"	0	57	0
"451"	75	65	122
"452"	67	0	0
"453"	0	847	0
"454"	104	222	112
"455"	0	14	0
"456"	5	28	36
"457"	1	99	0
"458"	0	0	861
"459"	37	27	73
"460"	0	5	0
"461"	0	147	7
"462"	106	25	480
"463"	0	1284	0
"464"	0	5	0
"465"	48	41	17
"466"	55	6	45
"467"	0	40	0
"468"	0	166	0
"469"	19	11	15
"470"	0	0	0
"471"	0	100	2
"472"	27	21	6
"473"	0	0	0
"474"	65	224	14
"475"	4	0	156
"476"	0	32	0
"477"	0	407	0
"478"	13	0	24
"479"	28	0	13
"480"	0	2545	4
"481"	264	6	70
"482"	7	16	165
"483"	104	441	130
"484"	0	19	0
"485"	9	72	16
"486"	18	47	60
"487"	394	0	951
"488"	5	9	428
"489"	0	1328	5
"490"	377	0	4
"491"	241	50	148
"492"	11266	281	1642
"493"	31	4	270
"494"	38	2	199
"495"	0	7148	0
"496"	63	28	53
"497"	30	31	2
"498"	0	28	0
"499"	37	292	150
"500"	0	28	0
"501"	0	299	40
"502"	37	82	62
"503"	41	0	69
"504"	344	252	719
"505"	15	2	20
"506"	403	2	4
"507"	8	724	27
"508"	160	66	1494
"509"	820	8	210
"510"	0	8	98
"511"	30	72	136
"512"	4	91	4
"513"	0	210	0
"514"	85	11	23
"515"	0	16	0
"516"	0	0	0
"517"	35	45	55
"518"	0	412	0
"519"	1184	71247	4273
"520"	1	70	1
"521"	376	751	246
"522"	1997	32	124
"523"	0	9	0
"524"	0	69	4
"525"	0	6	0
"526"	0	249	0
"527"	824	2745	402
"528"	0	0	0
"529"	0	14	0
"530"	0	39834	0
"531"	0	193	0
"532"	11	25	10
"533"	0	83	0
"534"	247	21	73
"535"	7	148	3
"536"	64	2610	76
"537"	0	88	0
"538"	20	2244	9
"539"	64	16	3
"540"	18	39	18
"541"	0	0	0
"542"	127	0	6
"543"	0	608	0
"544"	0	0	0
"545"	0	38	0
"546"	410	522	31
"547"	4	36	2
"548"	21	43	40
"549"	23	1885	26
"550"	14	189	18
"551"	55	17	114
"552"	0	0	0
"553"	0	14	0
"554"	35	15	69
"555"	27	53	18
"556"	28	694	150
"557"	0	13	0
"558"	0	59	0
"559"	72	9	89
"560"	0	0	0
"561"	0	39	4
"562"	4	2004	13
"563"	1598	0	33
"564"	20	3	30
"565"	673	10	15
"566"	159	22	302
"567"	18	251	120
"568"	0	5	0
"569"	10	27	43
"570"	2	710	4
"571"	1566	237	316
"572"	0	470	28
"573"	2	35	0
"574"	9	165	5
"575"	0	405	109
"576"	195	0	33
"577"	127	12	0
"578"	0	140	0
"579"	0	27	23
"580"	0	18	0
"581"	0	13	124
"582"	7	19	28
"583"	0	472	0
"584"	0	0	0
"585"	0	0	0
"586"	0	251	17
"587"	71	585	454
"588"	5	31	21
"589"	1597	0	0
"590"	0	480	1
"591"	5	19	4
"592"	0	100	0
"593"	0	19	0
"594"	0	461	0
"595"	10	467	39
"596"	0	6	489
"597"	212	883	582
"598"	8	37	18
"599"	0	17	0
"600"	5	93	0
"601"	35	49	414
"602"	0	9	0
"603"	0	8	0
"604"	0	76	0
"605"	183	43	136
"606"	26	164	7
"607"	4	469	0
"608"	3	36	3
"609"	333	264	1013
"610"	6	12	77
"611"	378	729	932
"612"	801	50	162
"613"	0	209	0
"614"	0	32	0
"615"	0	111	12
"616"	0	43	0
"617"	1452	1064	1492
"618"	0	57	0
"619"	0	173	0
"620"	0	18	72
"621"	42	20	34
"622"	1113	10158	806
"623"	475	65	1179
"624"	0	217	0
"625"	1678	95	1046
"626"	30	2	68
"627"	75	58	141
"628"	65	23607	262
"629"	31	5	6
"630"	814	26	32
"631"	19	1090	53
"632"	0	36	2
"633"	0	103	9
"634"	0	0	154
"635"	3	354	0
"636"	0	1757	0
"637"	85	7	1603
"638"	15	992	32
"639"	74	99	20
"640"	12823	246	199
"641"	137	459	324
"642"	367	11	229
"643"	6	7	28
"644"	0	109	0
"645"	0	72	0
"646"	53	531	49
"647"	2	5	2
"648"	107	172	108
"649"	5626	0	131
"650"	0	0	0
"651"	13	460	46
"652"	0	6	0
"653"	0	3	0
"654"	28	7	50
"655"	14	76	46
"656"	2897	2119	1272
"657"	0	47	0
"658"	130	420	198
"659"	2	8	0
"660"	0	62	0
"661"	18	90	16
"662"	151	26	26
"663"	104	498	143
"664"	40	46	8
"665"	0	0	0
"666"	113	321	86
"667"	406	27	1431
"668"	0	27	2
"669"	0	37	0
"670"	1	116	2
"671"	776	35	901
"672"	33	0	276
"673"	127	27	11
"674"	0	0	794
"675"	0	22	1
"676"	19	9	44
"677"	348	0	11755
"678"	90	22	112
"679"	0	184	0
"680"	23	20	12
"681"	40	14289	94
"682"	144	14	9
"683"	0	1	16
"684"	0	16	0
"685"	0	434	0
"686"	0	6	0
"687"	0	22	2
"688"	0	508	0
"689"	75	35	91
"690"	0	138	0
"691"	0	0	0
"692"	7	8	4
"693"	0	315	7
"694"	18	88	17
"695"	124	16	109
"696"	349	336	414
"697"	2	55	18
"698"	9	46	2201
"699"	9	357	20
"700"	0	0	272
"701"	35	81	48
"702"	64	218	68
"703"	28	61	31
"704"	0	0	0
"705"	0	83	2
"706"	2	48	12
"707"	9	14	9
"708"	0	23	0
"709"	0	2	7
"710"	0	71	0
"711"	21	17	82
"712"	2	6	6
"713"	116	1110	7
"714"	7	93	2878
"715"	0	432	0
"716"	3	74	6
"717"	181	69	100
"718"	0	1339	32
"719"	46	10	32
"720"	13	40	18
"721"	189	151	306
"722"	17	12	2
"723"	0	18	3
"724"	148	339	285
"725"	4	40	14
"726"	4	101	0
"727"	235	523	288
"728"	4	6	0
"729"	0	5	0
"730"	12	394	17
"731"	64	17	73
"732"	0	778	7
"733"	49	113	61
"734"	0	524	0
"735"	2	69	0
"736"	0	159	0
"737"	0	258	2
"738"	14	25	22
"739"	0	116	116
"740"	0	2802	0
"741"	0	66	0
"742"	231	0	21
"743"	175	5	124
"744"	69	192	76
"745"	415	60	51
"746"	6	69	23
"747"	0	2	0
"748"	0	2	0
"749"	111	23	96
"750"	0	55	0
"751"	36	29	15
"752"	136	9	534
"753"	0	0	0
"754"	70	3156	133
"755"	139	46	228
"756"	3	5321	78
"757"	267	11	75
"758"	9	22	41
"759"	7	949	74
"760"	130	61	240
"761"	0	63	0
"762"	0	0	0
"763"	8	3495	0
"764"	21	6	70
"765"	53	725	140
"766"	0	321	0
"767"	329	2153	309
"768"	2110	418	30
"769"	0	183	0
