T_ZONE1;T_ZONE2;T_ZONE3;T_ZONE4;T_ZONE5;T_ZONE6;H_ZONE1;H_ZONE2;H_ZONE3;H_ZONE4;H_ZONE5;H_ZONE6
22,784;22,516;22,345;22,264;22,246;22,158;100,00;100,00;100,00;100,00;100,00;100,00
22,859;22,458;22,386;22,243;22,178;22,182;100,00;100,00;100,00;100,00;100,00;100,00
22,841;22,47;22,269;22,222;22,07;22,094;100,00;100,00;100,00;100,00;100,00;100,00
22,759;22,398;22,252;22,123;22,053;22,096;100,00;100,00;100,00;100,00;100,00;100,00
22,488;22,087;21,881;22,097;21,706;21,683;100,00;100,00;100,00;100,00;100,00;100,00
22,315;21,895;21,727;21,535;21,581;21,363;100,00;100,00;100,00;100,00;100,00;100,00
22,352;22,063;21,758;21,626;21,599;21,59;100,00;100,00;100,00;100,00;100,00;100,00
22,473;22,172;21,953;21,661;21,678;21,675;100,00;100,00;100,00;100,00;100,00;100,00
22,491;22,151;21,911;21,74;21,664;21,689;100,00;100,00;100,00;100,00;100,00;100,00
22,424;21,984;22,045;21,817;21,736;21,746;100,00;100,00;100,00;100,00;100,00;100,00
22,497;22,079;21,905;21,785;21,721;21,688;100,00;100,00;100,00;100,00;100,00;100,00
22,392;21,892;21,883;21,771;21,718;21,756;100,00;100,00;100,00;100,00;100,00;100,00
22,515;22,027;21,904;21,798;21,736;21,724;100,00;100,00;100,00;100,00;100,00;100,00
22,412;22,05;21,892;21,776;21,719;21,752;100,00;100,00;100,00;100,00;100,00;100,00
22,431;22,151;22,021;21,785;21,724;21,713;100,00;100,00;100,00;100,00;100,00;100,00
22,319;21,933;21,923;21,77;21,7;21,713;100,00;100,00;100,00;100,00;100,00;100,00
22,422;22,114;21,968;21,819;21,704;21,725;100,00;100,00;100,00;100,00;100,00;100,00
22,503;22,272;22,064;21,825;21,664;21,626;100,00;100,00;100,00;100,00;100,00;100,00
22,504;22,087;21,963;21,761;21,683;21,691;100,00;100,00;100,00;100,00;100,00;100,00
22,397;22,228;22,008;21,712;21,676;21,673;100,00;100,00;100,00;100,00;100,00;100,00
22,501;22,039;21,993;21,747;21,679;21,692;100,00;100,00;100,00;100,00;100,00;100,00
22,315;22,224;21,883;21,74;21,636;21,646;100,00;100,00;100,00;100,00;100,00;100,00
22,488;22,021;22,051;21,741;21,685;21,675;100,00;100,00;100,00;100,00;100,00;100,00
22,413;22,154;22,005;21,797;21,611;21,692;100,00;100,00;100,00;100,00;100,00;100,00
22,43;22,221;21,944;21,64;21,594;21,588;100,00;100,00;100,00;100,00;100,00;100,00
22,343;21,959;21,88;21,721;21,654;21,594;100,00;100,00;100,00;100,00;100,00;100,00
22,392;22,008;21,785;21,697;21,597;21,568;100,00;100,00;100,00;100,00;100,00;100,00
22,355;22,118;21,868;21,605;21,562;21,527;100,00;100,00;100,00;100,00;100,00;100,00
22,381;22,242;21,977;21,645;21,492;21,526;100,00;100,00;100,00;100,00;100,00;100,00
