T_ZONE1;T_ZONE2;T_ZONE3;T_ZONE4;T_ZONE5;T_ZONE6;H_ZONE1;H_ZONE2;H_ZONE3;H_ZONE4;H_ZONE5;H_ZONE6
24,204;22,619;22,53;22,385;22,398;22,416;80,50;95,70;97,10;96,95;96,45;96,45
24,175;22,566;22,469;22,451;22,342;22,367;80,80;96,90;97,75;96,65;96,75;96,77
24,148;22,591;22,373;22,316;22,164;22,109;80,80;97,20;98,37;97,57;98,00;98,65
24,115;22,437;22,339;22,222;22,173;22,099;80,80;96,90;98,37;98,20;97,67;98,65
24,088;22,376;22,339;22,24;22,182;22,149;80,80;96,90;98,07;97,87;97,67;98,02
24,061;22,378;22,3;22,218;22,152;22,137;80,80;96,90;98,37;97,57;97,67;98,02
24,034;22,488;22,278;22,167;22,111;22,036;81,10;97,50;98,70;98,20;98,00;98,65
24,005;22,334;22,266;22,129;22,109;22,036;81,10;96,90;99,02;98,50;97,67;98,65
23,975;22,364;22,291;22,193;22,142;22,169;81,10;97,20;98,37;97,87;97,67;97,70
23,945;22,436;22,325;22,21;22,12;22,115;81,10;96,00;98,07;97,57;97,67;98,02
23,916;22,497;22,291;22,188;22,111;22,146;81,10;97,50;98,37;97,87;98,00;97,70
23,896;22,307;22,24;22,137;22,109;22,087;81,40;97,50;98,70;98,20;98,00;98,35
23,878;22,401;22,205;22,106;22,073;22,015;81,40;97,20;99,02;98,50;98,00;98,65
23,851;22,364;22,158;22,047;22,009;21,936;81,40;96,90;99,02;98,82;98,30;98,97
23,832;22,23;22,158;22,044;22;21,981;81,40;97,50;99,35;98,50;98,30;98,97
23,814;22,279;22,166;22,047;21,966;21,962;81,40;96,90;99,02;98,50;98,60;98,97
23,797;22,376;22,175;22,045;21,98;21,947;81,70;97,80;99,35;98,50;98,60;98,97
23,78;22,282;22,185;22,05;22,008;21,993;81,70;96,90;98,70;98,50;98,30;98,97
23,749;22,306;22,149;22,099;21,965;21,93;81,70;97,80;99,02;98,20;98,60;98,97
23,728;22,345;22,072;22,023;21,956;21,872;81,70;97,50;99,67;98,82;98,60;99,60
23,708;22,261;22,064;21,85;21,956;21,835;81,70;97,80;99,97;100,00;98,60;99,92
23,689;21,893;22,021;22,081;21,872;22,134;81,70;99,60;99,97;98,50;99,85;98,35
23,666;21,758;21,733;21,767;21,566;21,884;82,00;100,00;100,00;100,00;100,00;99,60
23,646;21,871;21,756;21,596;21,523;21,562;82,00;100,00;100,00;100,00;100,00;100,00
23,63;21,826;21,741;21,64;21,524;21,569;82,00;100,00;100,00;100,00;100,00;100,00
23,609;21,807;21,756;21,611;21,596;21,596;82,00;100,00;100,00;100,00;100,00;100,00
23,597;21,831;21,904;21,636;21,614;21,596;82,00;100,00;100,00;100,00;100,00;100,00
23,574;21,868;21,996;21,71;21,63;21,626;82,30;100,00;100,00;100,00;100,00;100,00
23,567;21,823;21,852;21,654;21,612;21,596;82,30;100,00;100,00;100,00;100,00;100,00
23,553;21,724;21,881;21,582;21,575;21,568;82,30;100,00;100,00;100,00;100,00;100,00
23,538;21,7;21,913;21,575;21,582;21,569;82,30;100,00;100,00;100,00;100,00;100,00
23,525;21,727;21,739;21,603;21,584;21,594;82,30;100,00;100,00;100,00;100,00;100,00
23,516;21,822;21,901;21,596;21,602;21,581;82,30;100,00;100,00;100,00;100,00;100,00
23,495;21,994;21,962;21,62;21,548;21,559;82,62;100,00;100,00;100,00;100,00;100,00
23,471;21,899;21,954;21,605;21,413;21,459;82,62;100,00;100,00;100,00;100,00;100,00
23,447;21,523;21,841;21,375;21,241;21,281;82,62;100,00;100,00;100,00;100,00;100,00
23,416;21,409;21,701;21,244;21,22;21,271;82,62;100,00;100,00;100,00;100,00;100,00
23,397;21,217;21,541;21,177;20,949;21,078;82,62;100,00;100,00;100,00;100,00;100,00
23,383;21,22;21,539;20,946;20,922;20,979;82,92;100,00;100,00;100,00;100,00;100,00
23,373;21,122;21,251;20,925;20,869;20,933;82,92;100,00;100,00;100,00;100,00;100,00
23,349;21,259;21,238;20,968;21,085;21,039;82,92;100,00;100,00;100,00;100,00;100,00
23,322;21,559;21,455;21,059;21,183;21,183;82,92;100,00;100,00;100,00;100,00;100,00
23,286;21,406;21,458;21,124;21,069;21,036;82,92;100,00;100,00;100,00;100,00;100,00
23,253;21,392;21,456;21,035;20,936;20,93;83,22;100,00;100,00;100,00;100,00;100,00
23,241;21,352;21,471;21,017;20,97;20,962;83,22;100,00;100,00;100,00;100,00;100,00
23,22;21,204;21,446;20,958;20,854;20,873;83,22;100,00;100,00;100,00;100,00;100,00
23,196;21,162;21,429;20,89;20,81;20,823;83,22;100,00;100,00;100,00;100,00;100,00
23,169;21,125;21,318;20,814;20,789;20,799;83,22;100,00;100,00;100,00;100,00;100,00
23,139;21,392;21,391;20,902;20,871;20,839;83,22;100,00;100,00;100,00;100,00;100,00
23,119;21,047;21,383;20,891;20,828;20,865;83,52;100,00;100,00;100,00;100,00;100,00
23,098;21,02;21,36;20,842;20,82;20,841;83,52;100,00;100,00;100,00;100,00;100,00
23,067;21,054;21,391;20,86;20,817;20,848;83,52;100,00;100,00;100,00;100,00;100,00
23,047;21,068;21,367;20,866;20,838;20,848;83,52;100,00;100,00;100,00;100,00;100,00
23,026;21,151;21,33;20,884;20,86;20,86;83,52;100,00;100,00;100,00;100,00;100,00
23,004;21,428;21,346;20,903;20,952;20,936;83,82;100,00;100,00;100,00;100,00;100,00
22,989;21,245;21,161;20,903;20,936;20,894;83,82;100,00;100,00;100,00;100,00;100,00
22,962;21,33;21,34;20,918;20,918;20,919;83,82;100,00;100,00;100,00;100,00;100,00
22,941;21,188;21,327;20,909;20,905;20,91;83,82;100,00;100,00;100,00;100,00;100,00
22,92;21,581;21,358;20,906;20,906;20,897;83,82;100,00;100,00;100,00;100,00;100,00
22,896;21,562;21,366;20,91;20,913;20,927;83,82;100,00;100,00;100,00;100,00;100,00
22,874;21,514;21,272;20,902;20,936;20,922;84,12;100,00;100,00;100,00;100,00;100,00
22,859;21,378;21,263;20,86;20,93;20,936;84,12;100,00;100,00;100,00;100,00;100,00
22,842;21,425;21,284;20,845;20,93;20,925;84,12;100,00;100,00;100,00;100,00;100,00
22,824;21,413;21,036;20,798;20,891;20,909;84,12;100,00;100,00;100,00;100,00;100,00
22,805;21,219;20,983;20,813;20,85;20,894;84,12;100,00;100,00;100,00;100,00;100,00
22,782;21,164;21,042;20,777;20,825;20,856;84,12;100,00;100,00;100,00;100,00;100,00
22,956;21,317;21,118;20,722;20,801;20,832;89,30;100,00;100,00;100,00;100,00;100,00
22,993;21,054;20,992;20,798;20,856;20,873;88,37;100,00;100,00;100,00;100,00;100,00
22,979;21,112;21,076;20,832;20,832;20,908;87,77;100,00;100,00;100,00;100,00;100,00
22,976;21,441;21,152;20,813;20,814;20,845;87,47;100,00;100,00;100,00;100,00;100,00
22,97;21,323;21,039;20,831;20,819;20,808;87,17;100,00;100,00;100,00;100,00;100,00
22,959;21,162;20,964;20,872;20,801;20,811;87,17;100,00;100,00;100,00;100,00;100,00
22,943;21,156;20,964;20,878;20,825;20,811;87,17;100,00;100,00;100,00;100,00;100,00
22,92;21,085;21,063;20,903;20,838;20,831;86,85;100,00;100,00;100,00;100,00;100,00
22,905;21,256;21,127;20,896;20,839;20,831;86,85;100,00;100,00;100,00;100,00;100,00
22,884;21,197;21,188;20,925;20,854;20,85;86,85;100,00;100,00;100,00;100,00;100,00
22,889;21,352;21,213;20,921;20,838;20,875;87,47;100,00;100,00;100,00;100,00;100,00
22,901;21,242;21,237;20,903;20,856;20,831;88,07;100,00;100,00;100,00;100,00;100,00
24,231;21,392;21,274;20,905;20,915;20,909;87,47;100,00;100,00;100,00;100,00;100,00
23,851;21,367;20,985;20,977;20,841;20,919;87,17;100,00;100,00;100,00;100,00;100,00
23,404;21,109;21,174;21,054;20,884;20,897;88,37;100,00;100,00;100,00;100,00;100,00
23,203;21,254;21,112;21,121;20,925;20,942;89,30;100,00;100,00;100,00;100,00;100,00
23,176;21,49;21,18;21,234;20,962;20,961;89,30;100,00;100,00;100,00;100,00;100,00
23,269;21,605;21,382;21,303;21,013;21,022;89,00;100,00;100,00;100,00;100,00;100,00
23,678;21,425;21,342;21,345;21,042;21,06;87,77;100,00;100,00;100,00;100,00;100,00
23,839;21,532;21,056;21,197;20,97;20,982;87,47;100,00;100,00;100,00;100,00;100,00
22,085;21,337;21,22;21,032;21,025;21,028;97,65;100,00;100,00;100,00;100,00;100,00
21,749;21,189;21,238;20,974;21,008;20,962;99,20;100,00;100,00;100,00;100,00;100,00
21,655;21,329;21,251;21,121;21,133;21,033;100,00;100,00;100,00;100,00;100,00;100,00
21,767;21,351;21,259;21,188;21,219;21,229;100,00;100,00;100,00;100,00;100,00;100,00
21,728;21,352;21,158;21,158;21,242;21,229;100,00;100,00;100,00;100,00;100,00;100,00
21,71;21,284;21,256;21,106;21,17;21,197;100,00;100,00;100,00;100,00;100,00;100,00
21,807;21,314;21,302;21,094;21,185;21,162;100,00;100,00;100,00;100,00;100,00;100,00
21,648;21,339;21,327;21,121;21,131;21,128;100,00;100,00;100,00;100,00;100,00;100,00
21,709;21,326;21,382;21,149;21,202;21,217;100,00;100,00;100,00;100,00;100,00;100,00
21,755;21,467;21,579;21,3;21,283;21,382;100,00;100,00;100,00;100,00;100,00;100,00
22,064;21,688;21,835;21,517;21,499;21,704;100,00;100,00;100,00;100,00;100,00;100,00
22,191;21,892;21,874;21,571;21,596;21,802;99,52;100,00;100,00;100,00;100,00;100,00
22,264;22,096;21,953;21,731;21,722;21,825;100,00;100,00;100,00;100,00;100,00;100,00
22,315;22,179;21,893;21,758;21,914;21,686;100,00;100,00;100,00;100,00;99,22;100,00
22,342;22,021;22,163;21,835;22,309;21,767;99,52;100,00;97,10;100,00;93,07;100,00
22,388;21,869;22,452;21,785;22,593;22,17;98,57;99,90;93,62;100,00;91,25;98,97
21,935;22,072;22,404;21,984;22,703;22,258;100,00;96,90;95,52;100,00;90,02;98,02
21,935;22,139;22,519;21,993;22,841;22,428;100,00;99,60;93,00;99,12;88,50;98,02
21,96;22,088;22,434;22,257;22,977;22,543;100,00;97,80;94,57;95,10;88,80;90,22
22,032;22,064;22,554;22,218;23,013;22,658;100,00;97,50;93,30;100,00;88,80;90,22
22,075;22,117;22,461;22,111;22,784;22,708;100,00;98,40;94,87;98,20;92,15;95,20
22,21;22,298;22,776;22,475;22,907;22,744;99,52;96,60;93,62;96,02;93,67;96,77
22,376;22,481;23,065;22,681;23,163;23,358;98,27;97,80;93,30;95,40;90,32;92,10
22,506;22,841;23,167;23,017;23,302;23,085;97,02;94,50;92,35;95,72;92,15;93,65
22,616;22,802;23,26;22,976;23,63;23,585;98,57;95,70;93,62;96,32;92,45;95,20
22,723;23,413;23,72;23,499;23,78;23,786;96,70;93,62;92,67;95,72;90,32;90,85
22,841;23,305;24,097;23,866;24,622;25,18;97,02;92,12;91,10;95,10;88,50;88,37
22,829;23,555;24,153;23,857;25,065;25,557;97,32;91,25;90,15;94,17;83,67;84,70
22,785;23,648;24,485;24,157;25,199;26,817;97,95;90,05;83,00;90,47;78,92;77,45
22,805;23,934;24,549;24,781;25,161;25,918;96,40;86,25;81,15;83,80;78,32;76,55
22,922;23,997;24,658;25,138;25,355;25,537;96,07;85,07;81,45;79,57;77,42;76,85
22,947;23,743;24,926;25,206;25,305;25,41;96,07;86,82;79,62;80,17;76,85;76,55
23,154;24,47;25,284;25,13;25,285;25,36;94,52;81,30;78,40;79,57;76,25;75,95
23,386;24,316;25,723;25,775;26,108;26,17;95,77;85,37;77,17;77,20;73,60;73,25
23,552;24,725;26,33;26,304;26,395;27,965;91,45;81,87;73,85;73,92;71,57;67,95
23,801;25,569;26,31;26,916;26,372;26,33;90,82;78,12;73,22;68,35;71,85;71,17
23,738;25,409;26,549;27,437;26,97;27,396;92,37;78,42;74,15;69,22;70,40;70,00
23,654;25,304;27,32;26,916;27,206;28,095;93,30;80,72;74,15;73,92;73,02;70,30
23,991;25,557;28,79;28,455;27,777;28,229;92,07;79,85;69,92;69,52;73,32;70,00
23,975;25,624;27,964;27,545;27,767;27,42;92,37;81,30;72,32;74,22;73,32;72,95
23,984;25,336;27,388;26,575;27,32;28,115;93,60;81,60;74,75;76,90;75,07;70,87
24,175;25,505;27,884;26,963;27,678;28,563;93,30;82,17;74,15;76,00;69,52;67,95
24,183;25,613;27,722;26,926;27,394;28,369;93,00;81,00;71,72;72,17;69,25;68,22
24,15;25,778;26,653;27,135;27,386;28,132;94,22;79,85;79,00;69,52;73,02;65,30
24,314;25,27;26,596;26,508;27,24;27,4;93,60;83,62;79,62;78,40;73,60;75,95
24,245;25,636;25,847;26,539;26,587;28,408;94,85;84,77;85,17;78,70;83,37;73,25
24,243;25,295;25,629;26;26,516;27,253;93,00;84,20;83,00;84,10;80,40;75,95
24,183;25,445;25,818;26,091;26,738;27,349;93,92;82,17;79,62;79,57;83,37;77,15
24,095;25,525;26,355;26,88;27,411;27,845;94,85;81,87;78,10;78,10;73,90;78,65
24,24;25,878;26,402;27,064;27,47;28,464;94,22;81,30;78,40;77,80;80,10;76,25
24,372;25,534;26,132;26,829;27,329;28,499;94,22;85,37;82,37;79,27;78,62;76,85
24,511;26,187;26,552;27,132;27,68;28,262;95,15;83,32;83,00;80,17;75,07;68,22
24,726;26,427;26,866;26,973;27,748;28,12;93,30;79,85;76,87;81,07;66,62;66,47
24,805;26,163;26,629;27,588;27,644;28,593;93,92;85,95;76,27;75,42;71,57;67,07
24,873;26,684;26,945;27,794;28,107;28,243;93,60;81,30;75,35;73,92;73,32;63,85
24,866;26,493;26,903;27,593;27,801;28,654;92,67;76,97;76,87;73,05;79,20;67,65
24,822;26,547;27,208;27,019;28,054;28,107;93,00;81,60;76,87;84,10;79,80;76,25
24,91;26,41;26,478;27,231;28,377;27,775;93,30;79,57;82,70;83,50;78,32;78,95
24,808;25,827;25,59;27,124;27,78;26,857;96,07;85,37;91,42;85,60;82,77;83,80
24,319;25,097;25,319;25,953;26,249;25,942;97,95;92,72;90,15;91,10;84,87;88,37
23,853;24,755;25,404;25,563;26,081;25,879;100,00;92,12;79,62;82,27;75,67;78,95
23,302;24,663;25,01;25,543;25,304;25,476;96,70;80,72;76,57;75,70;74,77;73,85
22,738;23,893;21,422;24,669;21,737;23,812;96,70;83,32;100,00;76,30;92,77;78,95
21,327;20,959;20,606;20,724;20,473;20,427;100,00;100,00;100,00;100,00;100,00;100,00
21,106;20,538;20,28;20,227;20,12;20,056;100,00;100,00;100,00;100,00;100,00;100,00
20,973;20,663;20,586;20,263;20,322;20,257;100,00;100,00;100,00;100,00;100,00;100,00
21,176;20,967;20,795;20,473;20,476;20,603;100,00;100,00;100,00;100,00;100,00;100,00
20,998;21,013;20,508;20,422;20,301;20,563;100,00;100,00;100,00;100,00;100,00;100,00
21,146;20,896;20,848;20,348;20,434;20,387;100,00;100,00;100,00;100,00;100,00;100,00
21,146;20,93;20,592;20,366;20,424;20,483;100,00;100,00;100,00;100,00;100,00;100,00
21,088;20,748;20,773;20,496;20,317;20,427;100,00;100,00;100,00;100,00;100,00;100,00
21,143;20,752;20,616;20,455;20,477;20,427;100,00;100,00;100,00;100,00;100,00;100,00
21,201;20,868;20,696;20,606;20,554;20,811;100,00;100,00;100,00;100,00;100,00;100,00
21,229;20,977;20,933;20,62;20,73;20,591;100,00;100,00;100,00;100,00;100,00;100,00
21,339;21,072;20,983;20,857;20,931;21,03;100,00;100,00;100,00;100,00;100,00;100,00
21,397;21,097;21,019;20,928;20,85;20,678;100,00;100,00;100,00;100,00;100,00;100,00
21,453;20,989;21,011;20,835;20,811;20,745;100,00;100,00;100,00;100,00;100,00;100,00
21,455;21,291;21,112;20,829;20,82;20,868;100,00;100,00;100,00;100,00;100,00;100,00
21,437;21,211;21,054;20,841;20,796;20,712;100,00;100,00;100,00;100,00;100,00;100,00
21,55;21,226;20,823;20,82;20,711;20,722;100,00;100,00;100,00;100,00;100,00;100,00
21,522;21,044;21,022;20,721;20,814;20,731;100,00;100,00;100,00;100,00;100,00;100,00
21,544;21,191;20,931;20,823;20,857;20,833;100,00;100,00;100,00;100,00;100,00;100,00
21,603;21,257;21,336;20,961;20,974;21,053;100,00;100,00;100,00;100,00;100,00;100,00
21,597;21,397;21,242;20,99;20,93;20,913;100,00;100,00;100,00;100,00;100,00;100,00
21,48;21,253;21,291;20,925;21,016;20,945;100,00;100,00;100,00;100,00;100,00;100,00
21,596;21,522;21,327;20,974;21,085;20,98;100,00;100,00;100,00;100,00;100,00;100,00
21,507;21,425;21,223;21,197;21,146;21,09;100,00;100,00;100,00;100,00;100,00;100,00
21,614;21,413;21,504;21,223;21,291;21,275;100,00;100,00;100,00;100,00;100,00;100,00
21,675;21,755;21,49;21,425;21,394;21,63;100,00;100,00;100,00;100,00;100,00;100,00
21,597;21,398;21,202;21,231;21,136;21,143;100,00;100,00;100,00;100,00;100,00;100,00
21,755;21,522;21,391;21,253;21,235;21,3;100,00;100,00;100,00;100,00;100,00;100,00
21,88;21,627;21,698;21,524;21,508;21,462;100,00;100,00;100,00;100,00;100,00;100,00
21,898;21,881;21,825;21,571;21,725;21,608;100,00;100,00;100,00;100,00;100,00;100,00
21,905;21,927;21,893;21,786;21,725;21,603;100,00;100,00;100,00;100,00;100,00;100,00
21,991;22,039;21,913;21,682;21,789;21,611;100,00;100,00;100,00;100,00;100,00;100,00
22,003;22,015;21,679;21,799;21,847;22,12;100,00;100,00;100,00;100,00;100,00;100,00
22,064;22,102;21,755;21,92;21,91;21,924;100,00;100,00;100,00;100,00;100,00;100,00
22,008;22,081;22;21,758;21,877;22,157;100,00;100,00;100,00;100,00;100,00;100,00
21,991;22,057;21,837;21,731;21,902;21,834;100,00;100,00;100,00;100,00;100,00;100,00
22,137;21,953;22,023;21,7;21,852;21,713;100,00;100,00;100,00;100,00;100,00;100,00
22,048;22,081;21,923;21,899;21,881;21,75;100,00;100,00;100,00;100,00;100,00;100,00
22,053;21,988;21,999;21,837;21,63;21,853;100,00;100,00;100,00;100,00;100,00;100,00
21,968;21,893;21,847;21,727;21,672;21,785;100,00;100,00;100,00;100,00;100,00;100,00
22,006;21,724;21,791;21,783;21,756;21,747;100,00;100,00;100,00;100,00;100,00;100,00
22,012;21,91;21,883;21,753;21,799;21,683;100,00;100,00;100,00;100,00;100,00;100,00
22,175;21,98;21,987;21,783;21,892;21,736;100,00;100,00;100,00;100,00;100,00;100,00
22,179;22,102;22,03;21,892;21,917;21,82;100,00;100,00;100,00;100,00;100,00;100,00
22,108;22,103;22,152;22,018;21,878;21,838;100,00;100,00;100,00;100,00;100,00;100,00
22,081;22,23;22,127;22,023;21,88;21,95;100,00;100,00;100,00;100,00;100,00;100,00
22,118;22,158;22,127;22,118;22,126;22,129;100,00;100,00;100,00;100,00;100,00;100,00
22,111;22,061;22,152;22,061;22,047;22,357;100,00;100,00;100,00;100,00;100,00;100,00
22,111;22,166;22,196;21,924;21,878;22,017;100,00;100,00;100,00;100,00;100,00;100,00
22,142;22,202;22,148;21,874;21,865;22,014;100,00;100,00;100,00;100,00;100,00;100,00
22,191;22,282;22,213;22,151;22,075;22,322;100,00;100,00;100,00;100,00;100,00;100,00
22,213;22,322;22,389;22,184;22,103;22,316;100,00;100,00;100,00;100,00;100,00;100,00
22,261;22,366;22,403;22,082;21,95;22,064;100,00;100,00;100,00;100,00;100,00;100,00
22,313;22,306;21,99;21,951;21,96;21,878;100,00;100,00;100,00;100,00;100,00;100,00
22,134;21,972;21,91;21,904;21,935;21,801;100,00;100,00;100,00;100,00;100,00;99,92
22,039;21,762;21,819;21,933;21,887;21,866;100,00;100,00;100,00;100,00;100,00;98,65
21,917;21,789;21,715;21,896;21,877;21,841;100,00;100,00;100,00;100,00;100,00;99,60
21,905;21,724;21,621;21,877;21,883;21,777;100,00;100,00;100,00;100,00;100,00;97,70
21,899;21,779;21,707;21,82;21,669;21,762;100,00;100,00;100,00;100,00;100,00;97,07
21,96;21,701;21,752;21,724;21,645;21,728;100,00;100,00;100,00;100,00;100,00;100,00
21,902;21,725;21,782;21,75;21,801;21,802;100,00;100,00;100,00;100,00;100,00;100,00
21,933;21,788;21,899;21,823;21,789;21,749;100,00;100,00;100,00;100,00;100,00;100,00
21,837;21,764;21,852;21,825;21,746;21,762;100,00;100,00;100,00;100,00;100,00;100,00
21,896;21,789;21,782;21,768;21,701;21,734;100,00;100,00;100,00;100,00;100,00;100,00
21,905;21,777;21,7;21,725;21,669;21,703;100,00;100,00;100,00;100,00;100,00;100,00
21,978;21,685;21,692;21,652;21,637;21,664;100,00;100,00;100,00;100,00;100,00;100,00
21,804;21,649;21,634;21,642;21,566;21,612;100,00;100,00;100,00;100,00;100,00;100,00
21,701;21,538;21,572;21,56;21,545;21,593;100,00;100,00;100,00;100,00;100,00;100,00
21,776;21,609;21,639;21,609;21,557;21,569;100,00;100,00;100,00;100,00;100,00;100,00
21,753;21,605;21,581;21,559;21,51;21,51;100,00;100,00;100,00;100,00;100,00;100,00
21,768;21,6;21,591;21,492;21,416;21,477;100,00;100,00;100,00;100,00;100,00;100,00
21,865;21,576;21,545;21,473;21,424;21,458;100,00;100,00;100,00;100,00;100,00;100,00
21,794;21,678;21,563;21,483;21,431;21,431;100,00;100,00;100,00;100,00;100,00;100,00
21,807;21,606;21,568;21,486;21,416;21,416;100,00;100,00;100,00;100,00;100,00;100,00
21,853;21,575;21,576;21,458;21,391;21,403;100,00;100,00;100,00;100,00;100,00;100,00
21,736;21,617;21,575;21,45;21,388;21,386;100,00;100,00;100,00;100,00;100,00;100,00
21,785;21,631;21,576;21,458;21,404;21,41;100,00;100,00;100,00;100,00;100,00;100,00
21,901;21,578;21,563;21,473;21,406;21,394;100,00;100,00;100,00;100,00;100,00;100,00
21,849;21,572;21,562;21,481;21,415;21,401;100,00;100,00;100,00;100,00;100,00;100,00
21,838;21,572;21,519;21,449;21,386;21,366;100,00;100,00;100,00;100,00;100,00;100,00
21,758;21,603;21,535;21,438;21,376;21,375;100,00;100,00;100,00;100,00;100,00;100,00
21,792;21,605;21,557;21,422;21,373;21,364;100,00;100,00;100,00;100,00;100,00;100,00
21,733;21,557;21,481;21,406;21,318;21,311;100,00;100,00;100,00;100,00;100,00;100,00
21,727;21,56;21,519;21,369;21,311;21,302;100,00;100,00;100,00;100,00;100,00;100,00
21,617;21,559;21,297;21,192;21,122;21,087;100,00;100,00;100,00;100,00;100,00;100,00
21,62;21,34;21,272;21,179;21,177;21,102;100,00;100,00;100,00;100,00;100,00;100,00
21,47;21,32;21,232;21,198;21,136;21,111;100,00;100,00;100,00;100,00;100,00;100,00
21,434;21,202;21,146;21,084;21,001;20,979;100,00;100,00;100,00;100,00;100,00;100,00
21,551;21,213;21,148;20,996;21,013;20,949;100,00;100,00;100,00;100,00;100,00;100,00
21,449;21,103;21,128;21,054;20,953;21,001;100,00;100,00;100,00;100,00;100,00;100,00
21,303;21,081;21,096;20,955;20,913;20,967;100,00;100,00;100,00;100,00;100,00;100,00
21,462;21,173;21,167;21,002;21,008;20,971;100,00;100,00;100,00;100,00;100,00;100,00
21,428;21,152;21,116;21,065;21,025;21,033;100,00;100,00;100,00;100,00;100,00;100,00
21,188;21,116;21,118;20,953;20,902;20,908;100,00;100,00;100,00;100,00;100,00;100,00
21,271;21,257;21,072;20,936;20,891;20,887;100,00;100,00;100,00;100,00;100,00;100,00
21,291;21,256;21,111;20,973;20,979;20,919;100,00;100,00;100,00;100,00;100,00;100,00
21,321;21,208;21,091;21,017;21,022;20,999;100,00;100,00;100,00;100,00;100,00;100,00
21,33;21,274;21,116;20,971;20,971;20,983;100,00;100,00;100,00;100,00;100,00;100,00
21,369;21,125;21,099;20,974;20,993;20,928;100,00;100,00;100,00;100,00;100,00;100,00
21,38;21,173;21,105;20,974;21,038;20,922;100,00;100,00;100,00;100,00;100,00;100,00
21,372;21,118;21,081;20,974;20,977;20,882;100,00;100,00;100,00;100,00;100,00;100,00
21,36;21,217;21,122;21,014;20,971;20,936;100,00;100,00;100,00;100,00;100,00;100,00
21,275;21,111;20,983;20,988;20,931;20,934;100,00;100,00;100,00;100,00;100,00;100,00
21,324;20,99;21,007;20,884;20,819;20,848;100,00;100,00;100,00;100,00;100,00;100,00
21,244;21,112;20,976;20,831;20,891;20,823;100,00;100,00;100,00;100,00;100,00;100,00
21,165;21,093;20,964;20,854;20,817;20,78;100,00;100,00;100,00;100,00;100,00;100,00
21,263;20,893;20,857;20,813;20,792;20,765;100,00;100,00;100,00;100,00;100,00;100,00
21,085;20,93;20,853;20,771;20,73;20,761;100,00;100,00;100,00;100,00;100,00;100,00
21,32;20,928;20,85;20,789;20,733;20,77;100,00;100,00;100,00;100,00;100,00;100,00
21,263;20,847;20,844;20,777;20,742;20,765;100,00;100,00;100,00;100,00;100,00;100,00
21,266;20,897;20,85;20,776;20,814;20,86;100,00;100,00;100,00;100,00;100,00;100,00
21,284;20,872;20,866;20,789;20,77;20,752;100,00;100,00;100,00;100,00;100,00;100,00
21,136;20,903;20,928;20,798;20,776;20,759;100,00;100,00;100,00;100,00;100,00;100,00
21,208;20,949;20,94;20,833;20,785;20,799;100,00;100,00;100,00;100,00;100,00;100,00
21,235;20,99;20,993;20,832;20,826;20,786;100,00;100,00;100,00;100,00;100,00;100,00
21,245;21,039;21,057;20,913;20,931;20,896;100,00;100,00;100,00;100,00;100,00;100,00
21,274;21,156;21,023;20,902;20,836;20,845;100,00;100,00;100,00;100,00;100,00;100,00
21,214;21,142;21,02;20,878;20,816;20,792;100,00;100,00;100,00;100,00;100,00;100,00
21,275;21,13;21,017;20,878;20,838;20,831;100,00;100,00;100,00;100,00;100,00;100,00
21,263;21,119;21,014;20,887;20,822;20,796;100,00;100,00;100,00;100,00;100,00;100,00
21,237;20,894;20,85;20,829;20,765;20,754;100,00;100,00;100,00;100,00;100,00;100,00
21,122;20,836;20,891;20,789;20,751;20,697;100,00;100,00;100,00;100,00;100,00;100,00
21,188;20,893;20,902;20,762;20,737;20,718;100,00;100,00;100,00;100,00;100,00;100,00
21,087;20,964;20,888;20,752;20,748;20,739;100,00;100,00;100,00;100,00;100,00;100,00
21,217;20,796;20,762;20,776;20,73;20,759;100,00;100,00;100,00;100,00;100,00;100,00
21,155;20,737;20,73;20,66;20,631;20,678;100,00;100,00;100,00;100,00;100,00;100,00
21,125;20,749;20,776;20,643;20,662;20,617;100,00;100,00;100,00;100,00;100,00;100,00
21,103;20,736;20,662;20,663;20,615;20,65;100,00;100,00;100,00;100,00;100,00;100,00
20,983;20,666;20,68;20,583;20,555;20,542;100,00;100,00;100,00;100,00;100,00;100,00
20,976;20,737;20,776;20,595;20,601;20,551;100,00;100,00;100,00;100,00;100,00;100,00
21,047;20,885;20,82;20,653;20,666;20,635;100,00;100,00;100,00;100,00;100,00;100,00
21,05;20,839;20,795;20,706;20,631;20,622;100,00;100,00;100,00;100,00;100,00;100,00
20,995;20,98;20,794;20,665;20,647;20,6;100,00;100,00;100,00;100,00;100,00;100,00
21,036;20,912;20,78;20,683;20,688;20,66;100,00;100,00;100,00;100,00;100,00;100,00
21,072;20,896;20,728;20,684;20,617;20,558;100,00;100,00;100,00;100,00;100,00;100,00
21,162;20,767;20,677;20,647;20,647;20,629;100,00;100,00;100,00;100,00;100,00;100,00
21,085;20,663;20,65;20,576;20,53;20,492;100,00;100,00;100,00;100,00;100,00;100,00
21,05;20,717;20,688;20,58;20,572;20,539;100,00;100,00;100,00;100,00;100,00;100,00
21,033;20,643;20,603;20,579;20,529;20,536;100,00;100,00;100,00;100,00;100,00;100,00
20,943;20,637;20,626;20,498;20,47;20,452;100,00;100,00;100,00;100,00;100,00;100,00
